Nombre;Dirección;Municipio;Código_Postal;Provincia;Teléfono;Categoria
MERANGES                  ;PL. CORRAL, S/N                                                       ;Meranges                                ;17539          ;GIRONA         ;972881786      ;ABS
PUIGCERDÀ                 ;PL. DE SANTA MARIA, Nº 1                                              ;Puigcerdà                               ;17520          ;GIRONA         ;972880150      ;ABS
GUILS DE CERDANYA         ;C/ MALET, Nº 12                                                       ;Guils de Cerdanya                       ;17528          ;GIRONA         ;972881786      ;ABS
GER                       ;C/ DEL REC, Nº 2                                                      ;Ger                                     ;17539          ;GIRONA         ;972881786      ;ABS
BOLVIR                    ;C/ CAMÍ REIAL, Nº 13                                                  ;Bolvir                                  ;17539          ;GIRONA         ;972881786      ;ABS
ALP                       ;PG. AGNÈS FABRÓ, S/N                                                  ;Alp                                     ;17538          ;GIRONA         ;972890381      ;ABS
LLÍVIA                    ;C/ RAVAL, Nº 45                                                       ;Llívia                                  ;17527          ;GIRONA         ;972146213      ;ABS
D'ALL                     ;C/ PLAÇA MAJOR S/N                                                    ;Isòvol                                  ;17539          ;GIRONA         ;972894051      ;ABS
FONTANALS DE CERDANYA     ;C/ PUIGCERDÓ, Nº 1                                                    ;Fontanals de Cerdanya                   ;17538          ;GIRONA         ;972890381      ;ABS
CUNIT                     ;AVDA. DEL CASTEL, Nº 16                                               ;Cunit                                   ;43881          ;TARRAGONA      ;977676332      ;ABS
RANXOS DE BONANY          ;C/ RANXOS DE BONANY, S/N                                              ;Querol                                  ;43819          ;TARRAGONA      ;977638289      ;ABS
VALLFOGONA DE RIUCORB     ;CAMÍ DE SANT PERE, Nº 4                                               ;Vallfogona de Riucorb                   ;43427          ;TARRAGONA      ;977880000      ;ABS
SANTA COLOMA DE QUERALT   ;C/ SEGARRA, Nº 3                                                      ;Santa Coloma de Queral                  ;43420          ;TARRAGONA      ;977880778      ;ABS
SAVALLÓ DEL COMTAT        ;PL. MAJOR, Nº 1                                                       ;Savallà del Comtat                      ;43427          ;TARRAGONA      ;977880778      ;ABS
CONESA                    ;CTRA. ROCAFORT, Nº 15                                                 ;Conesa                                  ;43427          ;TARRAGONA      ;977898001      ;ABS
SANT LLORENÇ DE MORUNYS   ;PL. DE LES ERES, Nº 5                                                 ;Sant Llorenç de Moruny                  ;25282          ;LLEIDA         ;973492510      ;ABS
LA COMA I LA PEDRA        ;PL. AJUNTAMENT,S/N                                                    ;Coma i la Pedra, La                     ;25284          ;LLEIDA         ;973492378      ;ABS
NAVÈS                     ;CTRA. PANTÀ DE ST PONÇ - URB STA LLÚCIA                               ;Navès                                   ;25286          ;LLEIDA         ;973482553      ;ABS
SOLSONÈS                  ;PL. GUITART, Nº 1                                                     ;Solsona                                 ;25280          ;LLEIDA         ;973481172      ;ABS
CAMBRILS                  ;CTRA. COLL DE JOU - FONT D'ESPIA, KM 18                               ;Odèn                                    ;25283          ;LLEIDA         ;973489001      ;ABS
GÓSOL                     ;PL. MAJOR, Nº 1                                                       ;Gósol                                   ;25716          ;LLEIDA         ;973370201      ;ABS
BIOSCA                    ;C/ NOU, Nº 5                                                          ;Biosca                                  ;25752          ;LLEIDA         ;973473528      ;ABS
ARDÈVOL DE PINÓS          ;PL. MAJOR, S/N                                                        ;Pinós                                   ;25287          ;LLEIDA         ;973473292      ;ABS
TORÀ                      ;PL. DEL VALL, Nº 1                                                    ;Torà                                    ;25750          ;LLEIDA         ;973473333      ;ABS
LA MOLSOSA                ;PL. ESGLÉSIA, S/N                                                     ;Molsosa, La                             ;8281           ;LLEIDA         ;973296090      ;ABS
VIDRÀ                     ;PL. DE L'AJUNTAMENT, Nº 2, Nº BAIX                                    ;Vidrà                                   ;17515          ;GIRONA         ;938551255      ;ABS
VILADRAU                  ;C/ SANT ANTONI MARIA CLARET, Nº 4                                     ;Viladrau                                ;17406          ;GIRONA         ;938849402      ;ABS
ESPINELVES                ;C/ DE LES ESCOLES, S/N                                                ;Espinelves                              ;17405          ;GIRONA         ;938857368      ;ABS
CALELLA                   ;C/ SANT JAUME, Nº 209-217                                             ;Calella                                 ;8370           ;BARCELONA      ;937665950      ;ABS
SANT POL                  ;C/ SANTA CLARA, Nº 1                                                  ;Sant Pol de Mar                         ;8395           ;BARCELONA      ;937604818      ;ABS
SANT ISCLE DE VALLALTA    ;C/ ESGLÉSIA, Nº 5                                                     ;Sant Iscle de Vallalta                  ;8359           ;BARCELONA      ;937946089      ;ABS
CANET DE MAR              ;C/ PL. DE LA UNIVERSITAT, Nº 1                                        ;Canet de Mar                            ;8360           ;BARCELONA      ;937956676      ;ABS
SANT CEBRIÀ DE VALLALTA   ;C/ CENTRE, Nº 27                                                      ;Sant Cebrià de Vallalt                  ;8396           ;BARCELONA      ;937631475      ;ABS
PALAFOLLS                 ;C/ SINDICAT, S/N                                                      ;Palafolls                               ;8389           ;BARCELONA      ;937620453      ;ABS
DR. JOSEP TORNER I FORS (M;AV. DE LA COSTA BRAVA, S/N                                            ;Malgrat de Mar                          ;8380           ;BARCELONA      ;937619500      ;ABS
PINEDA DE MAR             ;C/ TARRAGONA, Nº 49                                                   ;Pineda de Mar                           ;08397          ;BARCELONA      ;937671647      ;ABS
SANTA SUSANNA             ;PL. CATALUNYA, S/N                                                    ;Pineda de Mar                           ;8398           ;BARCELONA      ;937678139      ;ABS
POBLENOU                  ;C/ EMPORDÓ, Nº 3                                                      ;Pineda de Mar                           ;8397           ;BARCELONA      ;937691598      ;ABS
FOGARS DE LA SELVA        ;CTRA. BV 15222, Nº KM 5                                               ;Fogars de la Selva                      ;8495           ;BARCELONA      ;937644025      ;ABS
TORDERA                   ;C/ DOCTOR CARRERAS, Nº 29                                             ;Tordera                                 ;8499           ;BARCELONA      ;937642790      ;ABS
LLES DE CERDANYA          ;PL. MAJOR, Nº 1                                                       ;Lles de Cerdanya                        ;25726          ;LLEIDA         ;973515047      ;ABS
LA SEU D'URGELL           ;PG. DE JOAN BRUDIEU, Nº 8                                             ;Seu d'Urgell, La                        ;25700          ;LLEIDA         ;973350470      ;ABS
CASTELLCIUTAT             ;C/ MARC COMES, Nº 6                                                   ;Seu d'Urgell, La                        ;25710          ;LLEIDA         ;973350935      ;ABS
TUIXÉN                    ;C/ ÚNIC, S/N. CASA METGE                                              ;Josa i Tuixén                           ;25717          ;LLEIDA         ;973370039      ;ABS
NOVES DE SEGRE            ;C/ ÚNIC, S/N                                                          ;Valls d'Aguilar, Les                    ;25795          ;LLEIDA         ;973387321      ;ABS
SORRIBES                  ;C/ ÚNIC, S/N                                                          ;Vansa i Fórnols, La                     ;25717          ;LLEIDA         ;973370301      ;ABS
BESCARAN                  ;C/ ÚNIC, S/N                                                          ;Valls de Valira, Les                    ;25719          ;LLEIDA         ;973350458      ;ABS
MONTFERRER                ;C/ ÚNIC, S/N                                                          ;Montferrer i Castellbò                  ;25711          ;LLEIDA         ;973350470      ;ABS
ARSÈGUEL                  ;C/ ÚNIC, S/N                                                          ;Arsèguel                                ;25722          ;LLEIDA         ;973387314      ;ABS
ESTAMARIU                 ;C/ ÚNIC, S/N                                                          ;Estamariu                               ;25719          ;LLEIDA         ;973351457      ;ABS
ADRALL                    ;C/ MAJOR, S/N                                                         ;Ribera d'Urgellet                       ;25797          ;LLEIDA         ;973387295      ;ABS
ARFA                      ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25713          ;LLEIDA         ;973387314      ;ABS
EL PLA DE SANT TIRS       ;PL. ERA BADIA, S/N                                                    ;Ribera d'Urgellet                       ;25796          ;LLEIDA         ;973387434      ;ABS
MONTAN DE TOST            ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25796          ;LLEIDA         ;973387105      ;ABS
PARROQUIA D'HORTÓ         ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25714          ;LLEIDA         ;973350470      ;ABS
MONTELLÓ I MARTINET       ;C/ CERDANYA, Nº 1                                                     ;Montellà i Martinet                     ;25724          ;LLEIDA         ;973515132      ;ABS
ALÀS                      ;C/ MAJOR, S/N                                                         ;Alàs i Cerc                             ;25718          ;LLEIDA         ;973360645      ;ABS
PERAMOLA                  ;C/ FEDERIC RIBÓ, S/N                                                  ;Peramola                                ;25790          ;LLEIDA         ;973470272      ;ABS
ALINYÀ                    ;PL. VALL PLA, S/N                                                     ;Fígols i Alinyà                         ;25794          ;LLEIDA         ;973370087      ;ABS
ORGANYÀ                   ;C/ MAJOR, Nº 38                                                       ;Organyà                                 ;25794          ;LLEIDA         ;973382099      ;ABS
OLIANA                    ;C/GIRONA, Nº 8                                                        ;Oliana                                  ;25790          ;LLEIDA         ;973463022      ;ABS
FÍGOLS                    ;C/ ESGLÉSIA, S/N                                                      ;Fígols i Alinyà                         ;25794          ;LLEIDA         ;973383100      ;ABS
COLL DE NARGÓ             ;PL. AJUNTAMENT, S/N                                                   ;Coll de Nargó                           ;25793          ;LLEIDA         ;973383552      ;ABS
TRAGÓ                     ;PL. ESCOLA, S/N                                                       ;Peramola                                ;25790          ;LLEIDA         ;973350470      ;ABS
OGERN                     ;CTRA. SOLSONA, S/N                                                    ;Bassella                                ;25289          ;LLEIDA         ;973462779      ;ABS
SENET                     ;C/ ÚNIC, S/N                                                          ;Vilaller                                ;25553          ;LLEIDA         ;973697060      ;ABS
VILALLER                  ;CARRE JOAN MIRÓ, S/N                                                  ;Vilaller                                ;25552          ;LLEIDA         ;973697060      ;ABS
EL PONT DE SUERT          ;C/ CANALETA, S/N                                                      ;Pont de Suert, El                       ;25520          ;LLEIDA         ;973691159      ;ABS
LLESP                     ;C/ ÚNIC, S/N                                                          ;Pont de Suert, El                       ;25526          ;LLEIDA         ;973690005      ;ABS
MALPÀS                    ;C/ ÚNIC, S/N                                                          ;Pont de Suert, El                       ;25520          ;LLEIDA         ;973690005      ;ABS
BARRUERA                  ;C/ SANFELIU, S/N                                                      ;Vall de Boí, La                         ;25527          ;LLEIDA         ;973694025      ;ABS
BOÍ                       ;PL. DEL TREIO, Nº 3                                                   ;Vall de Boí, La                         ;25528          ;LLEIDA         ;973694018      ;ABS
DURRO                     ;PL. DE L'ESTUDI, S/N                                                  ;Vall de Boí, La                         ;25527          ;LLEIDA         ;973694169      ;ABS
ERILL LA VALL             ;PL. DE DALT, Nº 4                                                     ;Vall de Boí, La                         ;25528          ;LLEIDA         ;973696391      ;ABS
TAÜLL                     ;PL. SANT MARTÍ, S/N                                                   ;Vall de Boí, La                         ;25528          ;LLEIDA         ;973696390      ;ABS
VILAMÒS                   ;PL. MAJOR, Nº 4                                                       ;Vilamòs                                 ;25551          ;LLEIDA         ;973648211      ;ABS
CANEJAN                   ;PL. AJUNTAMENT, Nº 1                                                  ;Canejan                                 ;25548          ;LLEIDA         ;973648229      ;ABS
BOSSÒST                   ;C/ PIETAT, Nº 92                                                      ;Bossòst                                 ;25550          ;LLEIDA         ;973648211      ;ABS
VIELHA                    ;C/ ESPITAU, S/N                                                       ;Vielha e Mijaran                        ;25530          ;LLEIDA         ;973643140      ;ABS
ARRES                     ;C/ ESCOLES, S/N                                                       ;Arres                                   ;25551          ;LLEIDA         ;973642694      ;ABS
ES BÒRDES                 ;PL. JARDÍ, Nº 2                                                       ;Bòrdes, Es                              ;25551          ;LLEIDA         ;973642039      ;ABS
BAUSEN                    ;C/ SANT ANTONI, Nº 7                                                  ;Bausen                                  ;25549          ;LLEIDA         ;973648229      ;ABS
SALARDÚ                   ;C/ BALMES, Nº 2                                                       ;Naut Aran                               ;25598          ;LLEIDA         ;973645818      ;ABS
ARTIES                    ;PL. URTAU, Nº 1                                                       ;Naut Aran                               ;25599          ;LLEIDA         ;973642847      ;ABS
LES                       ;PL. ESGLÉSIA, Nº 9                                                    ;Les                                     ;25540          ;LLEIDA         ;973648229      ;ABS
PRULLANS                  ;C/ PUIG, Nº 1                                                         ;Prullans                                ;25727          ;LLEIDA         ;973510255      ;ABS
BELLVER DE CERDANYA       ;AV. PERE SICART, Nº 1. TORRE DE SANT JO                               ;Bellver de Cerdanya                     ;25720          ;LLEIDA         ;973510315      ;ABS
PRATS I SANSOR            ;C/ ÚNIC, S/N                                                          ;Prats i Sansor                          ;25721          ;LLEIDA         ;972890594      ;ABS
POBLA DE SEGUR            ;C/ DE LES ESGRASES, Nº 2                                              ;Pobla de Segur, La                      ;25500          ;LLEIDA         ;973681323      ;ABS
SALÀS DE PALLARS          ;CTRA. PONT DE SUERT, S/N                                              ;Salàs de Pallars                        ;25693          ;LLEIDA         ;973676163      ;ABS
SENTERADA                 ;PL. ESCOLES, S/N                                                      ;Senterada                               ;25514          ;LLEIDA         ;973661779      ;ABS
ESPUI                     ;C/ ÚNIC, S/N                                                          ;Torre de Cabdella, La                   ;25515          ;LLEIDA         ;973663070      ;ABS
LA POBLETA DE BELLVEÍ     ;C/ ÚNIC, S/N                                                          ;Torre de Cabdella, La                   ;25515          ;LLEIDA         ;973661801      ;ABS
ESPOT                     ;C/ ÚNIC, S/N                                                          ;Espot                                   ;25597          ;LLEIDA         ;973624004      ;ABS
SORT                      ;CAMÍ DE LA CABANERA, Nº 1                                             ;Sort                                    ;25560          ;LLEIDA         ;973621465      ;ABS
TAVASCAN                  ;C/ MAJOR, S/N                                                         ;Lladorre                                ;25577          ;LLEIDA         ;973623098      ;ABS
LLADORRE                  ;C/ MAJOR, Nº 5                                                        ;Lladorre                                ;25576          ;LLEIDA         ;973623283      ;ABS
LLAVORSÍ                  ;CTRA. VAL D'ARAN, Nº 31                                               ;Llavorsí                                ;25595          ;LLEIDA         ;973622152      ;ABS
ESTERRI D'ÀNEU            ;C/ CARRERADA, Nº 5                                                    ;Esterri d'Àneu                          ;25580          ;LLEIDA         ;973626060      ;ABS
NUCLI DE VALÈNCIA D'ÀNEU  ;AVDA. PORT DE LA BONAIGUA, Nº 9                                       ;Alt Àneu                                ;25587          ;LLEIDA         ;973626038      ;ABS
AINET DE BESAN            ;C/ ÚNIC, S/N                                                          ;Alins                                   ;25573          ;LLEIDA         ;973624334      ;ABS
ALINS                     ;PL. MAJOR, S/N                                                        ;Alins                                   ;25574          ;LLEIDA         ;973624385      ;ABS
ARAÓS                     ;C/ ÚNIC, S/N                                                          ;Alins                                   ;25573          ;LLEIDA         ;973624318      ;ABS
ÀREU                      ;C/ ÚNIC, S/N                                                          ;Alins                                   ;25575          ;LLEIDA         ;973624405      ;ABS
MONTCORTÉS                ;C/ ÚNIC, S/N                                                          ;Baix Pallars                            ;25590          ;LLEIDA         ;973621465      ;ABS
GERRI DE LA SAL           ;C/ SANT SEBASTIÓ, S/N                                                 ;Baix Pallars                            ;25590          ;LLEIDA         ;973662008      ;ABS
PERAMEA                   ;C/ SANT CRISÒFOL, S/N                                                 ;Baix Pallars                            ;25591          ;LLEIDA         ;973662058      ;ABS
TÍRVIA                    ;C/ MAJOR, S/N                                                         ;Tírvia                                  ;25595          ;LLEIDA         ;973622074      ;ABS
RIALP                     ;C/ ÚNIC,S/N                                                           ;Rialp                                   ;25594          ;LLEIDA         ;973621456      ;ABS
LA GUINGUETA              ;CTRA. VAL D'ARAN, S/N                                                 ;Guingueta d'Àneu, La                    ;25597          ;LLEIDA         ;973626555      ;ABS
RIBERA DE CARDÓS          ;C/ ÚNIC, S/N                                                          ;Vall de Cardós                          ;25570          ;LLEIDA         ;973623265      ;ABS
FIGUEROLA D'ORCAU         ;C/ DEL VENT, S/N                                                      ;Isona i Conca Dellà                     ;25655          ;LLEIDA         ;973665033      ;ABS
ORCAU                     ;C/ PORTALET, S/N                                                      ;Isona i Conca Dellà                     ;25650          ;LLEIDA         ;973664098      ;ABS
TREMP                     ;C/ FRANCESC MACIÀ, Nº 14                                              ;Tremp                                   ;25620          ;LLEIDA         ;973650110      ;ABS
GUÀRDIA DE TREMP          ;C/ CARME, Nº 47                                                       ;Tremp                                   ;25632          ;LLEIDA         ;973651795      ;ABS
PALAU DE NOGUERA          ;C/ DEL FORN, S/N                                                      ;Tremp                                   ;25633          ;LLEIDA         ;973057044      ;ABS
PUIGCERCÓS                ;PL. MAJOR, S/N                                                        ;Tremp                                   ;25633          ;LLEIDA         ;973085001      ;ABS
LLIMIANA                  ;PL. MAJOR, Nº 1                                                       ;Llimiana                                ;25639          ;LLEIDA         ;973650773      ;ABS
VILAMITJANA               ;PL. MATIAS CAVALER, S/N                                               ;Tremp                                   ;25654          ;LLEIDA         ;973652626      ;ABS
SANT ROMÀ D'ABELLA        ;C/ ESCOLES, S/N                                                       ;Isona i Conca Dellà                     ;25656          ;LLEIDA         ;973085033      ;ABS
TALARN                    ;C/ RAVAL, S/N                                                         ;Talarn                                  ;25630          ;LLEIDA         ;973650812      ;ABS
ISONA                     ;C/ SOLEDAD, Nº 26                                                     ;Isona i Conca Dellà                     ;25650          ;LLEIDA         ;973664105      ;ABS
SANT SALVADOR DE TOLÓ     ;C/ ÚNIC, S/N                                                          ;Gavet de la Conca                       ;25638          ;LLEIDA         ;973664100      ;ABS
CONQUES                   ;C/ SANT PERE, S/N                                                     ;Isona i Conca Dellà                     ;25656          ;LLEIDA         ;973085013      ;ABS
SUTERRANYA                ;C/ ESCOLA PÚBLICA, S/N                                                ;Tremp                                   ;25620          ;LLEIDA         ;973057050      ;ABS
CABANYES (LES)            ;CTRA. DE GUARDIOLA, S/N                                               ;Cabanyes, Les                           ;8794           ;BARCELONA      ;938923858      ;ABS
SANT MARTÍ SARROCA        ;RAMBLA CATALUNYA, S/N                                                 ;Sant Martí Sarroca                      ;8731           ;BARCELONA      ;938991380      ;ABS
LES GUNYOLES              ;PL. DE L'ESGLÉSIA - CAL CANDI                                         ;Avinyonet del Penedès                   ;8793           ;BARCELONA      ;               ;ABS
LA MÚNIA                  ;C/ ANSELM CLAVÉ, Nº 11                                                ;Castellví de la Marca                   ;8732           ;BARCELONA      ;938919075      ;ABS
GUARDIOLA DE FONT-RUBÍ    ;PL. DE L'AJUNTAMENT, Nº 1                                             ;Font-rubí                               ;8736           ;BARCELONA      ;938979261      ;ABS
SANT CUGAT SESGARRIGUES   ;C/ MILÀ I FONTANALS, Nº 27                                            ;Sant Cugat Sesgarrigue                  ;8798           ;BARCELONA      ;938970363      ;ABS
SANT PERE MOLANTA         ;C/ MILÀ I FONTANALS, S/N                                              ;Olèrdola                                ;8799           ;BARCELONA      ;938920749      ;ABS
SANT MIQUEL D'OLÈRDOLA    ;AVDA. CATALUNYA, Nº 12                                                ;Olèrdola                                ;8734           ;BARCELONA      ;938903502      ;ABS
MOJA                      ;C/ LA CARRERADA, Nº 12                                                ;Olèrdola                                ;8734           ;BARCELONA      ;938170363      ;ABS
PLA DEL PENEDÈS (EL)      ;PL. PAU FONTANALS, Nº 1                                               ;Pla del Penedès, El                     ;8733           ;BARCELONA      ;938989069      ;ABS
PUIGDÀLBER                ;PL. DE LA VILA, Nº 1                                                  ;Puigdàlber                              ;8797           ;BARCELONA      ;938989061      ;ABS
VILOBÍ DEL PENEDÈS        ;C/ TORRENT, Nº 3                                                      ;Vilobí del Penedès                      ;8735           ;BARCELONA      ;938978387      ;ABS
SANTA FE DEL PENEDÈS      ;C/ DE L'HORTA, Nº 1                                                   ;Santa Fe del Penedès                    ;8792           ;BARCELONA      ;938974607      ;ABS
SANTA MARGARIDA I ELS MONJ;PG. FLUVIAL, S/N                                                      ;Santa Margarida i els                   ;8730           ;BARCELONA      ;938186748      ;ABS
LA RÀPITA                 ;PL. RAMON CABRÉ, S/N                                                  ;Santa Margarida i els                   ;8730           ;BARCELONA      ;938983769      ;ABS
ISIDRE BAGES              ;PL. ATENEU, Nº 4                                                      ;Subirats                                ;8739           ;BARCELONA      ;938179086      ;ABS
LAVERN                    ;C/ DE LES ESCOLES, Nº 3                                               ;Subirats                                ;8739           ;BARCELONA      ;938994262      ;ABS
SANT PAU D'ORDAL          ;C/ PONENT, Nº 13                                                      ;Subirats                                ;8739           ;BARCELONA      ;938993361      ;ABS
TORRELLES DE FOIX         ;C/ RONDA, Nº 2                                                        ;Torrelles de Foix                       ;8737           ;BARCELONA      ;938971556      ;ABS
LA GRANADA                ;C/ SANT CRISTÒFOL, Nº 20                                              ;Granada, La                             ;8792           ;BARCELONA      ;938975123      ;ABS
OLESA DE BONESVALLS       ;C/ L'ANTIGUA, S/N                                                     ;Olesa de Bonesvalls                     ;8795           ;BARCELONA      ;938984308      ;ABS
PACS DEL PENEDÈS          ;C/ DE LES ESCOLES, Nº 19                                              ;Pacs del Penedès                        ;8796           ;BARCELONA      ;938264031      ;ABS
PONTONS                   ;PL. DE LA VILA, S/N                                                   ;Pontons                                 ;8738           ;BARCELONA      ;938987028      ;ABS
AVINYÓ NOU                ;PL. DE LA VILA, Nº 1                                                  ;Avinyonet del Penedès                   ;8793           ;BARCELONA      ;938970829      ;ABS
ABRERA                    ;C/ MANRESA, Nº 15                                                     ;Abrera                                  ;8630           ;BARCELONA      ;937702561      ;ABS
CAN VILALBA               ;AVDA. CIRCUNVALACIÓ, Nº 5                                             ;Abrera                                  ;8630           ;BARCELONA      ;937704939      ;ABS
SANTA MARIA DE VILALBA    ;CAMÍ CASTELL VOLTRERA, Nº 5                                           ;Abrera                                  ;8630           ;BARCELONA      ;937701738      ;ABS
LLINARS DEL VALLÈS        ;C/ FREDERIC MARÈS, S/N                                                ;Llinars del Vallès                      ;8450           ;BARCELONA      ;938410573      ;ABS
SANT ANTONI DE VILAMAJOR  ;C/ SANTA ANNA, Nº 4-6                                                 ;Sant Antoni de Vilamaj                  ;8459           ;BARCELONA      ;938452327      ;ABS
SANT PERE DE VILAMAJOR    ;C/ NOU, Nº 26                                                         ;Sant Pere de Vilamajor                  ;8458           ;BARCELONA      ;938452625      ;ABS
ARENYS DE MAR             ;AV. D'AUTERIVE, S/N                                                   ;Arenys de Mar                           ;8350           ;BARCELONA      ;937958074      ;ABS
ARENYS DE MUNT            ;AV. DEL REMEI, S/N                                                    ;Arenys de Munt                          ;8358           ;BARCELONA      ;937951523      ;ABS
CAN MASSUET               ;AV. EL FAR, Nº 10                                                     ;Dosrius                                 ;8319           ;BARCELONA      ;937916173      ;ABS
DOSRIUSCENTRE             ;C/ PAU CASALS, Nº 20                                                  ;Dosrius                                 ;8319           ;BARCELONA      ;937919084      ;ABS
CANYAMARS                 ;C/ MAJOR, Nº 7                                                        ;Dosrius                                 ;8319           ;BARCELONA      ;937955224      ;ABS
SANT MIQUEL DEL CROS      ;AV. MEDITERRANI, S/N                                                  ;Argentona                               ;8310           ;BARCELONA      ;937574990      ;ABS
ÒRRIUS                    ;CTRA. DE LA ROCA, Nº 2                                                ;Òrrius                                  ;8317           ;BARCELONA      ;937561092      ;ABS
DR. GONÇAL CALVO I QUERALT;C/ JOAN FUSTÉ ORTELLS, Nº 1                                           ;Argentona                               ;8310           ;BARCELONA      ;937561092      ;ABS
MARTÍ I JULIÀ             ;C/ MARTÍ I JULIÀ, Nº 11-19                                            ;Badalona                                ;8911           ;BARCELONA      ;931671840      ;ABS
MORERA POMAR              ;C/ PERE III, Nº 1-7                                                   ;Badalona                                ;8915           ;BARCELONA      ;934628200      ;ABS
DOCTOR ROBERT             ;PL. DE LA MEDICINA, S/N                                               ;Badalona                                ;8911           ;BARCELONA      ;933842425      ;ABS
PROGRÈS-RAVAL             ;C/ GENERAL WEYLER, Nº 44                                              ;Badalona                                ;8912           ;BARCELONA      ;933890695      ;ABS
SANT ROC - EL GORG        ;C/ VÉLEZ RUBIO, S/N . CANTONADA AMB MOT                               ;Badalona                                ;8913           ;BARCELONA      ;902111444      ;ABS
LLEFIÀ                    ;CTRA. ANTIGA DE VALÈNCIA, S/N                                         ;Badalona                                ;8913           ;BARCELONA      ;933991460      ;ABS
GRAN SOL                  ;AVDA. DOCTOR BASSOLS, Nº 112 - 130                                    ;Badalona                                ;08914          ;BARCELONA      ;936247929      ;ABS
LA SALUT                  ;PG. ENCANTS, S/N                                                      ;Badalona                                ;8914           ;BARCELONA      ;934607900      ;ABS
NOVA LLOREDA              ;AV. CATALUNYA, Nº 62-64                                               ;Badalona                                ;8917           ;BARCELONA      ;934603900      ;ABS
APENINS-MONTIGALÓ         ;C/ APENINS, S/N                                                       ;Badalona                                ;8917           ;BARCELONA      ;933951779      ;ABS
BUFALÀ - CANYET           ;AV. MARTÍ I PUJOL, Nº 521-527                                         ;Badalona                                ;8915           ;BARCELONA      ;934970505      ;ABS
BARBERÀ DEL VALLÈS        ;C/ VERGE DE L'ASSUMPCIÓ, S/N                                          ;Barberà del Vallès                      ;8210           ;BARCELONA      ;937192540      ;ABS
ROSA DELS VENTS           ;PL. ROSA DELS VENTS, S/N                                              ;Barberà del Vallès                      ;8210           ;BARCELONA      ;937194281      ;ABS
BARCELONETA               ;PG. MARÍTIM, Nº 25.  HOSPITAL DEL MAR,                                ;Barcelona                               ;8003           ;BARCELONA      ;932213783      ;ABS
CASC ANTIC                ;C/ REC COMTAL, Nº 24                                                  ;Barcelona                               ;8003           ;BARCELONA      ;933101421      ;ABS
GÒTIC                     ;PASSATGE DE LA PAU, Nº 1                                              ;Barcelona                               ;8002           ;BARCELONA      ;933436140      ;ABS
DRASSANES                 ;AV. DE LES DRASSANES, Nº 17-21                                        ;Barcelona                               ;8001           ;BARCELONA      ;933294495      ;ABS
PERACAMPS                 ;AVDA. DE LES DRASSANES, Nº 13 - 15                                    ;Barcelona                               ;8001           ;BARCELONA      ;934410600      ;ABS
DOCTOR LLUÍS SAYÉ         ;C/ TORRES I AMAT, Nº 8                                                ;Barcelona                               ;8001           ;BARCELONA      ;933012532      ;ABS
VILA OLÍMPICA             ;C/ JOAN MIRÓ, Nº 17                                                   ;Barcelona                               ;8005           ;BARCELONA      ;932213785      ;ABS
RAMON TURRÓ               ;C/ RAMON TURRÓ, Nº 337-339                                            ;Barcelona                               ;8005           ;BARCELONA      ;934465700      ;ABS
POBLENOU                  ;C/ LOPE DE VEGA, Nº 138                                               ;Barcelona                               ;8005           ;BARCELONA      ;934337710      ;ABS
BESÒS                     ;C/ ALFONS EL MAGNÀNIM, Nº 57                                          ;Barcelona                               ;8019           ;BARCELONA      ;932788235      ;ABS
EL CLOT                   ;C/ CONCILIO DE TRRENTO, Nº 25                                         ;Barcelona                               ;8018           ;BARCELONA      ;933037301      ;ABS
LA PAU                    ;C/ PERE VERGÉS, Nº 3                                                  ;Barcelona                               ;8020           ;BARCELONA      ;932788660      ;ABS
SANT MARTÍ                ;PL. DE LA INFANCIA, S/N .CANTONADA FLUV                               ;Barcelona                               ;8020           ;BARCELONA      ;933070812      ;ABS
COMTE BORRELL             ;COMTE BORRELL, Nº 305                                                 ;Barcelona                               ;8036           ;BARCELONA      ;932271800      ;ABS
EIXAMPLE                  ;C/ ROSSELLÓ, Nº 161                                                   ;Barcelona                               ;8036           ;BARCELONA      ;932279800      ;ABS
MANSO                     ;C/ MANSO, Nº 19                                                       ;Barcelona                               ;8015           ;BARCELONA      ;935517283      ;ABS
ROGER DE FLOR             ;C/ ROGER DE FLOR, Nº 194 - 196                                        ;Barcelona                               ;8013           ;BARCELONA      ;902500179      ;ABS
PASSEIG DE SANT JOAN      ;PG. DE SANT JOAN, Nº 20                                               ;Barcelona                               ;8010           ;BARCELONA      ;933270550      ;ABS
CARLES I                  ;C/ MARINA, Nº 168                                                     ;Barcelona                               ;8013           ;BARCELONA      ;932317705      ;ABS
SAGRADA FAMÍLIA           ;C/ CÒRSEGA, Nº 643                                                    ;Barcelona                               ;8025           ;BARCELONA      ;935072580      ;ABS
DOCTOR CARLES RIBAS       ;C/ FOC, S/N                                                           ;Barcelona                               ;8038           ;BARCELONA      ;932232888      ;ABS
BORDETA - MAGÒRIA         ;C/ CORRAL, S/N                                                        ;Barcelona                               ;8014           ;BARCELONA      ;934316570      ;ABS
