Nombre;Dirección;Municipio;Código Postal;Teléfono
COMAPOSADA BERINGUES, JOSEFINA                       ;CARRER   CENTRE                   29;LA GARRIGA                ;08530          ;938718314      
SU�OL GENIS, MARTI                                   ;CARRER   CENTRE                   10;LA GARRIGA                ;08530          ;938714686      
MU�OZ MENDEZ, DANIEL                                 ;RAMBLA   JOAQUIM VAYREDA          44;GAVA                      ;08850          ;936620388      
LEON CRISTOBAL, LUCIA                                ;CARRER   DIAGONAL                 7;GAVA                      ;08850          ;936620144      
RIBAL BARRERA, MARIA EVA                             ;CARRER   MAJOR                    8;GELIDA                    ;08790          ;937790003      
BOVET PLA, M. TURA/FRANCH MASFERRER, ANGELS          ;AVINGUDA CATALUNYA                30;GIRONELLA                 ;08680          ;938250082      
GUIXE SIMON, XAVIER                                  ;AVINGUDA CATALUNYA                53;GIRONELLA                 ;08680          ;938250177      
ARIMANY BARCELO, MARINA                              ;PLA�A    JOSEP MALUQUER i SALVADOR11;GRANOLLERS                ;08400          ;938794029      
TORRENTS ARNALDICH, NURIA                            ;CARRER   ANSELM CLAVE             31;GRANOLLERS                ;08400          ;938700259      
VI�AMATA NEBOT, ISABEL                               ;CARRER   MUSEU                    20-22;GRANOLLERS                ;08400          ;938794018      
PARERA BONANY, MARIA                                 ;PLA�A    DE L'OLI                 3;GRANOLLERS                ;08400          ;938700038      
BRETCHA FORNS, MARTA                                 ;CARRER   JOAN PRIM                29;GRANOLLERS                ;08400          ;938403900      
VILADES FREIXA, JOSEP                                ;CARRETERARIBES                    1;GUARDIOLA DE BERGUEDA     ;08694          ;938240006      
BERTRAN GOMEZ, MONTSERRAT/CAMACHO PELAEZ, SARA       ;CARRER   PROGRES                  85;HOSPITALET DE LLOBREGAT L';08903          ;932495169      
HUGUET HIGUERAS, LLUIS                               ;CARRETERACOLLBLANC                50;HOSPITALET DE LLOBREGAT L';08903          ;932490064      
PUJADAS SARET,A/PUJADAS PIULACHS,A/PUJADAS PIULACHS,X;CARRER   LLOBREGAT                136;HOSPITALET DE LLOBREGAT L';08904          ;934495136      
HUGUET TERMES, MARIA TERESA                          ;CARRER   MAJOR                    34;HOSPITALET DE LLOBREGAT L';08901          ;933370637      
ALAMOS LOPEZ, PILAR                                  ;CARRER   DR.MARTI I  JULIA        177;HOSPITALET DE LLOBREGAT L';08903          ;934313391      
MORALES PUJOL, CARMEN                                ;CARRER   DR.MARTI JULIA           63;HOSPITALET DE LLOBREGAT L';08903          ;932497264      
DASCA DE MOXO, M TERESA                              ;RAMBLA   MARINA                   441;HOSPITALET DE LLOBREGAT L';08901          ;933370072      
MIRANDA MU�OZ, ALEXANDRE                             ;CARRER   MAJOR                    19;HOSPITALET DE LLOBREGAT L';08901          ;933370430      
ZABALA DE OLEZA, RAFAEL                              ;CARRER   APRESTADORA              80;HOSPITALET DE LLOBREGAT L';08902          ;933318444      
DE GABRIEL BLASCO, CARLES                            ;CARRER   PUJ�S                    49;HOSPITALET DE LLOBREGAT L';08904          ;932494923      
PUIG ROMEU, JOSEP MA.                                ;CARRER   PROGRES                  39;HOSPITALET DE LLOBREGAT L';08904          ;932493246      
BALSELLS TURMO,ELIA/BALSELLS TURMO,MARTA             ;CARRER   SANTA EULALIA            97;HOSPITALET DE LLOBREGAT L';08902          ;933315698      
MORENO MURILLO, RAQUEL                               ;CARRER   ENRIC PRAT DE LA RIBA    161;HOSPITALET DE LLOBREGAT L';08901          ;933372556      
MISERACHS SOLA, ANNA                                 ;RAMBLA   NOVA                     1;IGUALADA                  ;08700          ;938030598      
BAUSILI LOPEZ-SAEZ, JUAN BOSCO                       ;CARRER   BORN                     9;IGUALADA                  ;08700          ;938031933      
GODO SOLER, JOSEP                                    ;PLA�A    DE LA CREU               7;IGUALADA                  ;08700          ;938031488      
SINGLA BARCELO, RAMON                                ;AVINGUDA MESTRE MONTANER          23-26;IGUALADA                  ;08700          ;938050479      
TORELLO ENRICH, JORDI                                ;PASSEIG  MOSSEN JACINT VERDAGUER  82;IGUALADA                  ;08700          ;938031873      
PERICH TOMAS, FRANCESC                               ;AVINGUDA COMAS MASFERRER          41;LLINARS DEL VALLES        ;08450          ;938410094      
BU�OL TORDERA, PERE                                  ;CARRER   MAR                      80;MALGRAT DE MAR            ;08380          ;937654021      
VILADEVALL MASENS,S/VILADEVALL GARRIGA,N             ;CARRER   CARME                    28;MALGRAT DE MAR            ;08380          ;937610146      
FERRER CHAMBO,V./FERRER CHAMBO,T.                    ;PLA�A    FRA BERNADI              18;MANLLEU                   ;08560          ;938510240      
AUTET GUBIERAS, ASSUMPTA                             ;CARRER   DE LA FONT               15;MANLLEU                   ;08560          ;938511034      
ESPONA GRIFOL,MONTSERRAT                             ;PASSEIG  SANT JOAN                115;MANLLEU                   ;08560          ;938507203      
TALAVERON PLANAS, CRISTOFOL                          ;CARRER   ANGEL GUIMERA            23;MANRESA                   ;08241          ;938721505      
COMAS  RIU, MA.TERESA                                ;PLA�A    ANSELM CLAVE             1;MANRESA                   ;08241          ;938721323      
PAVIA PARDO, JAVIER                                  ;CARRETERACARDONA                  19;MANRESA                   ;08241          ;938725517      
BONSFILLS PONT, JOANA                                ;CARRER   BALMES                   41;MANRESA                   ;08242          ;938730133      
OLTRA ROVIRA, M.ASSUMPTA                             ;CARRER   MURALLA DEL CARME        16;MANRESA                   ;08241          ;938722771      
ESTEVE CRUELLA, ANTONI                               ;PLA�A    PLANA DE L'OM            4;MANRESA                   ;08241          ;938720509      
RUYRA PAGES, PERE                                    ;PLA�A    MAJOR                    12;MANRESA                   ;08241          ;938723742      
ANGUERA FARRAN, TERESA/CUCURULL MATEU, CRISTINA      ;PASSEIG  PERE III                 1;MANRESA                   ;08242          ;938721715      
GRAU VILALTA, LAIA                                   ;CARRETERAVIC                      59;MANRESA                   ;08241          ;938772987      
ALIER CARRION, TERESA                                ;PLA�A    INFANTS                  2;MANRESA                   ;08241          ;938721984      
COMAS RIU, RICARD                                    ;CARRER   BORN                     30;MANRESA                   ;08241          ;938721359      
SALA AUVI, M.ANGELS                                  ;CARRER   SANT MIQUEL              10;MANRESA                   ;08241          ;938721767      
ARROYO SAINZ, ROSA MARIA                             ;PLA�A    SANT IGNASI              13;MANRESA                   ;08241          ;938721389      
TRAPE PUJOL, JOSEP                                   ;CARRER   SOBRERROCA               40;MANRESA                   ;08241          ;938722180      
ROVIRA BERGER, LAIA                                  ;CARRER   PAU CLARIS               3;MARTORELL                 ;08760          ;937750239      
MASSANEDA ROVIRA, JOAQUIM                            ;PLA�A    MESTRE VICEN� RODRIGUEZ  1;MARTORELL                 ;08760          ;937751897      
CARDONA TRULLAS, M. JOSEP                            ;PASSEIG  PRAT DE LA RIBA          23;EL MASNOU                 ;08320          ;935550403      
RIERA SERRAT, EMILI                                  ;CARRER   JOSEP LLIMONA            22;EL MASNOU                 ;08320          ;935550855      
JIMENEZ TORT, S�LVIA                                 ;CARRER   MAJOR                    1;MASQUEFA                  ;08783          ;937725301      
PLANA BORRAS, JULIANA                                ;PLA�A    CUBA                     4;MATARO                    ;08302          ;937985550      
DE LA PE�A VILLALAIN ROSA M                          ;CARRER   RAMBLA                   16;MATARO                    ;08302          ;937902024      
COLL FABRES, ENRIC                                   ;CARRER   SANT JOSEP               30;MATARO                    ;08302          ;937904340      
MONTANER PICART, MONTSERRAT                          ;CARRER   LA RIERA                 57;MATARO                    ;08302          ;937901030      
ROCA ALBERO, M. PILAR                                ;CARRER   NOU                      1-3;MATARO                    ;08301          ;937901957      
COLL PAGES, TERESA/DEL RIO DURAN, RAQUEL             ;CARRER   SANT CRISTOFOR           1;MATARO                    ;08301          ;937960908      
SPA VERA, RAMON                                      ;PLA�A    SANTA MARIA              3;MATARO                    ;08301          ;937901043      
VILARDELL GARRIGA, A.L.                              ;AVINGUDA PUIG I CADAFALCH         256;MATARO                    ;08303          ;937982550      
XUCLA BAS, MARIANO (HEREUS)                          ;CARRER   MAJOR                    100;MOLINS DE REI             ;08750          ;936681994      
ROCA BRUNET, JUDIT/MAURI ROCA, M FE                  ;CARRER   MAJOR                    31;MOLINS DE REI             ;08750          ;936684949      
CANALS PALAU,MARIA/SABORIT SANCLIMENT,ROBERT         ;CARRER   PI I MARGALL             11;MOLINS DE REI             ;08750          ;936681429      
ROVIROSA OLIVE, SALVADOR                             ;CARRER   BERENGUER III            64;MOLLET DEL VALLES         ;08100          ;935930095      
AMADO DEL PINO, MARGARIDA                            ;PLA�A    PRAT DE LA RIBA          17;MOLLET DEL VALLES         ;08100          ;935930161      
RAMON TUGAS, MONTSERRAT                              ;PLA�A    CATALUNYA                1;MOLLET DEL VALLES         ;08100          ;935930099      
RELAT ROCA, JOSEP                                    ;CARRER   MAJOR                    89;MONTCADA I REIXAC         ;08110          ;935641481      
GUIX MESTRES, MONTSERRAT                             ;CARRER   MAJOR                    25;MONTCADA I REIXAC         ;08110          ;935641645      
VILA MOGAS, JOAN                                     ;CARRER   JAUME I                  26;MONTCADA I REIXAC         ;08110          ;935643315      
CIRICI GASCH, MANUEL                                 ;RIERA    SANT JORDI               14;MONTGAT                   ;08390          ;934691187      
SOLERA JOU, RAFEL                                    ;CARRER   PONT                     31;MONISTROL DE MONTSERRAT   ;08691          ;938350129      
RUIZ PLANAS, MONTSERRAT                              ;AVINGUDA CATALUNYA                66;SANTA MARGARIDA I ELS MONJ;08730          ;938980002      
ADRADOS DE MIGUEL,MA.CANDELA                         ;AVINGUDA DE LA VILA               18;MOIA                      ;08180          ;938300417      
ROSADO CONEJO, LAIA                                  ;CARRER   FORTIA SOLA              9;NAVARCLES                 ;08270          ;938310033      
RIERA MARISTANY, MARTI                               ;CARRETERADE BERGA                 59;NAVAS                     ;08670          ;938390173      
BERENGUER AMENOS, ANNA / FLORENSA BERENGUER, ANNA M. ;CARRER   JOSEP ANSELM CLAVE       114;OLESA DE MONTSERRAT       ;08640          ;937780186      
REIXACH MORERA, M.ASSUMPTA                           ;CARRER   MAJOR                    44;SANTA MARIA DE PALAUTORDER;08460          ;938480030      
HUGUET PLANES, ARACELI                               ;CARRER   PRAT DE LA RIBA          26;PALLEJA                   ;08780          ;936683559      
BARJA GONZALEZ, M ISABEL                             ;CARRER   RAVAL                    26;PARETS DEL VALLES         ;08150          ;935737512      
RECASENS ISART, MIQUEL                               ;CARRER   SANT CRISTOFOL           3;PIERA                     ;08784          ;937788232      
COSTA PERICH, FRANCESCA                              ;CARRER   DEL MAR                  14-A;PINEDA DE MAR             ;08397          ;937623187      
ALVAREZ RODRIGUEZ/QUINTANA TOMAS                     ;CARRER   MAJOR                    12;EL PRAT DE LLOBREGAT      ;08820          ;933790601      
GARRIGA/GUIMERA                                      ;CARRER   CENTRE                   15;EL PRAT DE LLOBREGAT      ;08820          ;933703802      
FABRO YAGUE, M.MERCE                                 ;CARRER   FERRAN PUIG              8;EL PRAT DE LLOBREGAT      ;08820          ;933790122      
CAMPOS ROVIRA, JOAQUIM                               ;CARRER   MAJOR                    35;PRATS DE LLU�ANES         ;08513          ;938560287      
PUEYO SALVADOR, JORDI                                ;CARRER   RIERA DE PREMIA          16;PREMIA DE MAR             ;08330          ;937529042      
PICO GODOY, MONTSERRAT                               ;PLA�A    DE LA CREU               9;PUIG-REIG                 ;08692          ;9,8380042      
SELVA MARTI, JOSEP M.                                ;CARRER   CALVARI                  3;RIPOLLET                  ;08291          ;936921809      
TORRENT CARDELUS/FELIU TORRENT                       ;PLA�A    MAJOR                    7;RODA DE TER               ;08510          ;938540058      
PARRILLA LEAL, MARIA                                 ;CARRER   XERCAVINS                2;RUBI                      ;08191          ;936991305      
CARULLA BATALLE, MARC                                ;PASSEIG  FRANCESC MACIA           23;RUBI                      ;08191          ;936990430      
COLOMINA BRUSAU, M.ROSA                              ;CARRER   LUSITANIA LOCAL 49       2;SABADELL                  ;08206          ;937162335      
BAGAN TAPIOLES, MONTSERRAT                           ;CARRER   CARME                    10;SABADELL                  ;08202          ;937250303      
ARGELAGUET ARGEMI, SANTIAGO                          ;CARRER   SANT ANTONI MARIA CLARET 21;SABADELL                  ;08202          ;937450537      
VINYES SANT, JOAN                                    ;RAMBLA   DE SABADELL              235;SABADELL                  ;08202          ;937255710      
CRUSAFONT SABATE, ANNA M.                            ;CARRER   COLOM                    13;SABADELL                  ;08201          ;937250777      
