Nombre;Dirección;Municipio;Código Postal;Teléfono
UNYO BOVER, SANDRA                                   ;CARRER   ROGER DE LLURIA          74;BARCELONA                 ;08009          ;934576544      
URGELL ROURA, MONTSERRAT                             ;CARRER   VALENCIA                 393;BARCELONA                 ;08013          ;932582652      
MONTANER ROGADO, YOLANDA                             ;CARRER   SANT PAU                 70;BARCELONA                 ;08001          ;932417525      
ORTI BRAVO, ANGEL                                    ;PASSEIG  POTOSSI                  2 PLANTA CENTRAL C, LOCAL C10;BARCELONA                 ;08030          ;931010126      
LIZONDO CARBO, MONICA                                ;CARRER   SANT ANTONI ABAT         44;BARCELONA                 ;08001          ;932422134      
ORIOL CARRERAS, MARINA                               ;CARRER   LLULL                    187;BARCELONA                 ;08005          ;933001414      
FORS IBORRA, EUGENI                                  ;CARRER   MARINA                   187;BARCELONA                 ;08013          ;932314205      
PLA SANTAMANS, FRANCESC                              ;CARRER   VALENCIA                 440;BARCELONA                 ;08013          ;932313905      
MIQUEL SERRA, MONTSERRAT                             ;CARRER   BALMES                   222;BARCELONA                 ;08006          ;932176791      
SALVADO LLADO, ANGELS                                ;PASSEIG  SANT JOAN                2;BARCELONA                 ;08010          ;932364105      
GUA�ABENS GAY, ELISABET                              ;CARRER   GALILEU                  104;BARCELONA                 ;08028          ;933391288      
RISCO URRACO, JOAN IGNACIO                           ;CARRETERACOLLBLANC                154-156;BARCELONA                 ;08002          ;932505236      
FERNANDEZ COLOME, MARIA                              ;CARRER   PI I MARGALL             5;BARCELONA                 ;08024          ;932134864      
RODRIGUEZ ALSINA, M.LUZ/FONT RODRIGUEZ,INES          ;CARRER   COMTE D'URGELL           95;BARCELONA                 ;08011          ;932535469      
BARCELO GIRO, JUDITH                                 ;CARRER   VILASECA                 39;BARCELONA                 ;08031          ;934293109      
TORIBIO HERNANDEZ, FRANCISCO                         ;CARRER   AMERICA                  46;BARCELONA                 ;08041          ;934503791      
THOMAS PALLEROLA/EGEA THOMAS                         ;CARRER   MALLORCA                 554;BARCELONA                 ;08026          ;932314208      
VENTURA CEBRIA, ENRIC                                ;CARRER   CLOT                     88;BARCELONA                 ;08018          ;932313605      
VIVES SANCHEZ, ADELA                                 ;RONDA    SANT PAU                 3;BARCELONA                 ;08015          ;932315995      
SALABERT HORNO, ALEX                                 ;CARRER   AVENIR                   21;BARCELONA                 ;08006          ;932005923      
RODRIGUEZ MARTINEZ, JUAN ANTONIO                     ;CARRER   DE LA MARQUESA           3;BARCELONA                 ;08003          ;933199143      
GARCIA LOPEZ, JUAN CARLOS                            ;GRAN VIA CORTS CATALANES          278;BARCELONA                 ;08004          ;932231315      
MARQUEZ VALLS, MARTA                                 ;CARRER   PERE IV                  91;BARCELONA                 ;08018          ;933092313      
SAMARANCH MIRADA,MARIANO                             ;CARRER   SARAGOSSA                42;BARCELONA                 ;08006          ;932376210      
GARRIDO BLANCH, MARC                                 ;CARRER   PROVEN�A                 195;BARCELONA                 ;08008          ;934536110      
COSTA MIRALBELL, ERNEST                              ;CARRER   MUNTANER                 83;BARCELONA                 ;08011          ;934530879      
BONANY JANE, MARIA PILAR                             ;CARRER   SANT ANTONI MARIA CLARET 97;BARCELONA                 ;08025          ;934356905      
AUGE RIBAS, RITA                                     ;CARRER   ROGENT                   118;BARCELONA                 ;08026          ;932362326      
CASAUS DOMINGO, PILAR                                ;CARRER   ARIBAU                   91;BARCELONA                 ;08036          ;934532990      
MARIMON PUIGMARTI, BEATRIU                           ;CARRER   AVINYO                   27;BARCELONA                 ;08002          ;933152459      
ROVIRA XATART, MA. ANGELS                            ;AVINGUDA DIAGONAL                 319;BARCELONA                 ;08009          ;932583412      
SASTRE-MARQUES PEIX, FRANCESC                        ;RAMBLA   DEL RAVAL                2;BARCELONA                 ;08001          ;934415079      
GUASCH BADELL, SILVIA                                ;CARRER   CARRERAS I CANDI         49;BARCELONA                 ;08028          ;934224392      
CABEZAS ANDREU, JORDI                                ;CARRER   MAJOR DE SARRIA          94;BARCELONA                 ;08017          ;932031121      
CLAPES ANTOJA, JOSEP                                 ;RAMBLA   SANT JOSEP               98;BARCELONA                 ;08002          ;933012843      
ROCA TUGAS, DOMENEC                                  ;CARRER   CASANOVA                 236;BARCELONA                 ;08036          ;932306510      
MUNNE CAMPOS,MARINA                                  ;CARRER   BILBAO                   145;BARCELONA                 ;08018          ;932304912      
GUILLEN OLIVER, CONCEPCIO                            ;CARRER   MILA I FONTANALS         12;BARCELONA                 ;08012          ;932571782      
BASTERRA GABARRO, JOAN PASCUAL/BASTERRA GABARRO,MIQUE;CARRER   TAULAT (LOCAL 2,10-2,11) 190-194;BARCELONA                 ;08019          ;932411624      
CARRERAS COMA, MIQUEL                                ;CARRER   HOSPITAL                 14;BARCELONA                 ;08001          ;933187099      
SERRA MANDRI, JOAN M.                                ;AVINGUDA DIAGONAL                 478;BARCELONA                 ;08006          ;932173249      
VILLAR MERCHAN, MONTSERRAT                           ;RAMBLA   POBLENOU                 21;BARCELONA                 ;08005          ;933092937      
DE DALMASES PI�OT, ELVIRA                            ;CARRER   SARAGOSSA                133;BARCELONA                 ;08006          ;932122627      
BASTIDA VILA,MONTSERRAT/SICART JUDAS,LORETO          ;PLA�A    RASPALL                  1;BARCELONA                 ;08012          ;932136496      
XALABARDER TORRENTS, MARC                            ;CARRER   PRINCESA                 20;BARCELONA                 ;08003          ;933197711      
SOLER CUYAS, EDUARD (HEREUS)                         ;CARRER   JAUME I                  14;BARCELONA                 ;08002          ;933154057      
VALLS BIOSCA, MARIA                                  ;RONDA    SANT ANTONI              106;BARCELONA                 ;08001          ;933175674      
VILA FERNANDEZ, MARIA MONTSERRAT                     ;PLA�A    LLIBERTAT                9;BARCELONA                 ;08012          ;932370093      
CONTI ZALACAIN, PILAR                                ;GRAN VIA CORTS CATALANES          489;BARCELONA                 ;08015          ;934266584      
GIL PELLICER,FRANCESC/CORTES TENA,JULIA              ;CARRER   ASTURIES                 54;BARCELONA                 ;08012          ;932186196      
MARTINEZ MONTERO, CONCEPCION                         ;CARRER   OM                       18;BARCELONA                 ;08001          ;934410546      
BARRI FLOTATS, M.DOLORS                              ;CARRER   ARIBAU                   180;BARCELONA                 ;08036          ;932189586      
ESTRUCH RAFA, JOAN/ESTRUCH GARRIGA,ANDREU            ;CARRER   BADAL                    156;BARCELONA                 ;08028          ;934221618      
SANCHIS FORET, MARIA DEL MAR                         ;RAMBLA   CATALUNYA                117;BARCELONA                 ;08008          ;932375556      
TARRES OLLER,AGNES                                   ;CARRER   CARME                    84;BARCELONA                 ;08001          ;932325733      
MOTILLA GARCIA, MARIA JOSE                           ;CARRER   GRAN DE GRACIA           87;BARCELONA                 ;08012          ;932372731      
CENTELLES MU�OZ, ANA ISABEL                          ;PASSEIG  BONANOVA                 54;BARCELONA                 ;08017          ;934176443      
DE DOU REALES, BIBIANA                               ;AVINGUDA PARAL.LEL                124 BIS;BARCELONA                 ;08015          ;933299140      
LOPEZ DIAZ, MONTSERRAT                               ;AVINGUDA REPUBLICA ARGENTINA      14;BARCELONA                 ;08023          ;932172042      
MANDIANES ARANJO,ANNA ISABEL/VALLCORBA LOPEZ,GISELA  ;CARRER   CERA                     30;BARCELONA                 ;08001          ;932410593      
GORINA TORRENTS, ALEJANDRO                           ;CARRER   GRAN DE GRACIA           16;BARCELONA                 ;08012          ;932176999      
TRULL BOSCH, MARGARIDA                               ;CARRER   CONSELL DE CENT          98;BARCELONA                 ;08015          ;934230051      
GRAU GASULLA, M.ISABEL                               ;GRAN VIA CORTS CATALANES          763;BARCELONA                 ;08013          ;932315105      
TUTZO MARTIN, GEMMA                                  ;CARRER   SANT SALVADOR            125;BARCELONA                 ;08024          ;932130760      
MARTI MAS, XAVIER                                    ;CARRER   ARAGO                    395;BARCELONA                 ;08013          ;934586295      
FERNANDEZ LEON, VANESA                               ;PAS      WORLD TRADE CENTER (ed.NoS/N;BARCELONA                 ;08001          ;935088032      
URGELLES ESQUERRA/FABREGAS FERRER                    ;CARRER   ARIBAU                   36;BARCELONA                 ;08011          ;934540905      
MORE CAMINS,JOSEP/MORE CAMINS,ROSA MARIA/TALLACH MORE;CARRER   GALILEU                  250;BARCELONA                 ;08028          ;932306141      
BOADA LLORO, SUSANA                                  ;CARRER   TENOR MASSINI            52;BARCELONA                 ;08028          ;933392125      
BOSCH DE BASEA CUSCO, GUILLEM                        ;CARRER   MALLORCA                 176;BARCELONA                 ;08036          ;934531740      
RODRIGUEZ VILLAMUR, MARIA LLUISA                     ;CARRER   DIPUTACIO                331;BARCELONA                 ;08009          ;933178594      
RAMOS ONTIVEROS, ELOISA (TANCAMENT PROVISIONAL)      ;CARRER   PARE MANYANET            46;BARCELONA                 ;08002          ;933118206      
ALBAREDA COSTA,A/PEREZ ROSES,N                       ;CARRER   INDUSTRIA                206;BARCELONA                 ;08026          ;932356369      
MANSERGAS ARELLANO, JOSEP M.                         ;CARRER   FERROCARRILS CATALANS    69;BARCELONA                 ;08038          ;933326093      
SERRA SAVAL, MARTA                                   ;CARRER   VALENCIA                 470;BARCELONA                 ;08013          ;932312706      
COSTA CODINA, JOSEP                                  ;AVINGUDA GRAN VIA CORTS CATALANES 566;BARCELONA                 ;08011          ;934547277      
ROSA MARTIN, PAULA                                   ;CARRER   GIGNAS                   5;BARCELONA                 ;08002          ;933150059      
CAMPRUBI RIBALTA, M.FALGAS                           ;CARRER   SANT PAU                 44;BARCELONA                 ;08001          ;933020748      
ENRICH MURT, JAUME                                   ;CARRER   MALLORCA                 240;BARCELONA                 ;08008          ;932151793      
PRENDES ALVARGONZALEZ, ISABEL                        ;CARRER   ORIOL MESTRES            1;BARCELONA                 ;08034          ;932030243      
MUGUETA JUSUE, MA. NATIVITAT                         ;CARRER   CREU COBERTA             81;BARCELONA                 ;08014          ;934314508      
BREGANTE SORIANO,TERESA                              ;CARRER   COLLSEROLA               21;BARCELONA                 ;08035          ;934185165      
GIRO DE LA IGLESIA, OLGA                             ;PLA�A    FRANCESC MACIA           3;BARCELONA                 ;08021          ;93             
MORAGREGA ESTRANY,L/ROJAS ESTRANY,E                  ;CARRER   VIA LAIETANA             50;BARCELONA                 ;08003          ;933015750      
FERRER MORMENEO, RAMON                               ;CARRER   PARCERISA                48;BARCELONA                 ;08010          ;934327857      
BALSELLS VALVERDE, GLORIA                            ;CARRER   PRINCESA                 39;BARCELONA                 ;08003          ;933198393      
BENASCO BUSCATO, ANNA                                ;CARRER   GRAN DE SANT ANDREU      125;BARCELONA                 ;08030          ;933468803      
CLAPES VI�AS, ANTONI                                 ;CARRER   GRAN DE SANT ANDREU      211;BARCELONA                 ;08030          ;933466356      
GONZALEZ-ADRIO WAGNER, CRISTINA                      ;CARRER   PORTBOU                  38;BARCELONA                 ;08028          ;933394201      
SALUD MORELLA, LAURA                                 ;CARRER   GRAN DE GRACIA           115;BARCELONA                 ;08012          ;932178747      
NOLLA WINKEL, INGRID                                 ;RAMBLA   POBLENOU                 134-136;BARCELONA                 ;08018          ;933002255      
ORRIT MACKENZIE, JORDI                               ;PASSEIG  SANT JOAN                111;BARCELONA                 ;08037          ;934575372      
GILABERTE VELASCO, LYDIA                             ;CARRER   BRUC                     88;BARCELONA                 ;08009          ;933010134      
MARIN LOSCERTALES, MARIANO                           ;CARRER   LLUIS EL PIADOS          10;BARCELONA                 ;08003          ;933011984      
PASCUAL SERRA, MARTA                                 ;CARRER   ROS D'OLANO              15;BARCELONA                 ;08012          ;932172049      
GUARNER MU�OZ,MERCE/MARTA                            ;CARRER   SANT EDUARD              56;BARCELONA                 ;08023          ;932138476      
LLOBET FELIU, MERCE                                  ;CARRER   ENTEN�A                  129;BARCELONA                 ;08015          ;932236548      
PRATS GENIS, MONTSERRAT/CENTELLAS PRATS, MARTA       ;RAMBLA   POBLENOU                 46;BARCELONA                 ;08005          ;933091869      
PI�OL ESPESO, M.CARME                                ;CARRER   BONAVISTA                11;BARCELONA                 ;08012          ;932170127      
BOQUER TORRENS, MARCEL                               ;PASSEIG  SANT GERVASI             53;BARCELONA                 ;08022          ;934170240      
OLLER SALES,FERRAN/DOLCET GARCIA,M.HELENA/OLLER DOLCE;PLA�A    CONCORDIA                3;BARCELONA                 ;08014          ;932393623      
RIUS ESTELA, JOAQUIMA                                ;CARRER   SANT GERVASI DE CASSOLES 10;BARCELONA                 ;08022          ;934174056      
VIVES FERRER, M.EULALIA                              ;CARRER   MANSO                    64;BARCELONA                 ;08015          ;932410277      
PETIT GUINOVART, ALEGRIA/BENLLOCH PETIT, CARLOS      ;CARRER   INDUSTRIA                25;BARCELONA                 ;08037          ;932583832      
CASTELL FORES, M.CARME                               ;CARRER   ARAGO                    207;BARCELONA                 ;08011          ;934537385      
BALA�A CRESPO, PASCUAL                               ;CARRER   COMTE BORRELL            43;BARCELONA                 ;08015          ;934410211      
MIRO ASPA, ANTONI                                    ;CARRER   ALMIRALL CERVERA         15;BARCELONA                 ;08003          ;933194195      
ORBA�ANOS CHAO, MERCE                                ;CARRER   CONSTITUCIO              118;BARCELONA                 ;08014          ;933317744      
MORALES FEBRER, CARLES                               ;CARRER   TAPIOLES                 16;BARCELONA                 ;08004          ;932411896      
BOADA SOLER,ELISABETH/BOADA SOLER, CRISTINA          ;PLA�A    BONANOVA                 6;BARCELONA                 ;08022          ;934178032      
ARCO CASANOVAS,  ANNA MARIA                          ;PLA�A    TETUAN                   15;BARCELONA                 ;08010          ;932252612      
BARRI SENITCHES,MA. CARME                            ;PLA�A    ROVIRA                   11;BARCELONA                 ;08024          ;932131930      
GIRONES SADERRA, MONTSERRAT                          ;CARRER   ESCUDELLERS              8;BARCELONA                 ;08002          ;933018630      
LACOMA CUSI, ISABEL DE                               ;CARRER   TAULAT                   62;BARCELONA                 ;08005          ;932253640      
TOMAS GUSTIN, TOMAS                                  ;PLA�A    ROVIRA                   1;BARCELONA                 ;08024          ;932133430      
SCHMID BOSCH, ELISENDA                               ;CARRER   CARDERS                  44;BARCELONA                 ;08003          ;933198855      
TELLO MU�OZ, GEMMA                                   ;CARRER   GRAN DE GRACIA           167;BARCELONA                 ;08012          ;932186565      
LASMARIAS PALOS, ARTURO                              ;AVINGUDA CATEDRAL                 1;BARCELONA                 ;08002          ;933018127      
ALLUE MUGARRA, EUGENIA                               ;CARRER   FLORIDABLANCA            117;BARCELONA                 ;08011          ;932231757      
ALMOR ANDREU, MIRIAM                                 ;RONDA    SANT PAU                 51;BARCELONA                 ;08015          ;932412525      
VALLS CASTELLVI, M ANGELES                           ;CARRER   PROVEN�A                 306;BARCELONA                 ;08037          ;932153706      
ROMERA GUIJARRO, ISABEL                              ;PASSEIG  SANT JOAN                87;BARCELONA                 ;08009          ;934573657      
RASA VALTUE�A,M.VICTORIA/ANNA                        ;CARRER   ARAGO                    32;BARCELONA                 ;08015          ;934232084      
DOMINGUEZ GAYA, M. CARMEN                            ;CARRER   CASTILLEJOS              376;BARCELONA                 ;08025          ;934358485      
TENORIO RIPOLL, MARIA ISABEL                         ;CARRER   UNIO                     5;BARCELONA                 ;08001          ;933026933      
MUJAL VI�ALS,ASSUMPCIO                               ;CARRER   VILADOMAT                20-24;SABADELL                  ;08205          ;937100543      
SENTELLES MONILL, ANNA                               ;AVINGUDA CONSTITUCIO              119-125;CASTELLDEFELS             ;08860          ;936651244      
RUBIO CALVO, ALVARO                                  ;CARRER   PADILLA                  295;BARCELONA                 ;08025          ;932364980      
FULLANA BARCELO, LUCIA                               ;PASSEIG  SANT GERVASI             24;BARCELONA                 ;08022          ;934177542      
BENEDICTO LOPEZ, MERCE                               ;TORRENT  DE LES FLORS             45;BARCELONA                 ;08024          ;932130838      
CARRERA RODRIGUEZ, ELISA                             ;CARRER   VERDI                    132;BARCELONA                 ;08012          ;932174621      
SANCHEZ APARICIO, RAQUEL                             ;CARRER   GAVA                     59;BARCELONA                 ;08014          ;934211391      
FULLANA BARCELO, BEATRIZ                             ;CARRER   COMTE BORRELL            198;BARCELONA                 ;08029          ;932530687      
CEBRIAN ANAUT, MARIA JESUS                           ;PASSEIG  SANT JOAN BOSCO          57;BARCELONA                 ;08017          ;932032119      
LOPEZ RODRIGUEZ, SOFIA                               ;AVINGUDA SARRIA                   31;BARCELONA                 ;08029          ;932305004      
PANE TRULLOLS, ESTHER/PANE TRULLOLS, ELENA           ;PASSEIG  MARAGALL                 358;BARCELONA                 ;08031          ;932293030      
GUERRA MASATS, MARIA                                 ;CARRER   VILLARROEL               201;BARCELONA                 ;08036          ;934100266      
GOMEZ VALENZUELA, NURIA                              ;CARRER   GELABERT                 28-30;BARCELONA                 ;08029          ;934101685      
VENTURA TIRON, ANNA                                  ;CARRER   MARC AURELI              42-44;BARCELONA                 ;08006          ;932016496      
GASPAR OSPITAL,C/ARASA I PLA,G                       ;CARRER   MARE DE DEU DEL COLL     99;BARCELONA                 ;08023          ;932145126      
ROTLLAN VILALTA, MARIA FALGAS                        ;CARRER   ANGEL GUIMERA            14;BARCELONA                 ;08017          ;932015609      
SABATE FAURA, JAUME                                  ;CARRER   DOCTOR SANT PON�         103;BARCELONA                 ;08030          ;933467604      
FERNANDEZ PEREZ, MA. CARME                           ;CARRER   TAQUIGRAF GARRIGA        67;BARCELONA                 ;08029          ;932307643      
RIBAS FERNANDEZ, EMMA                                ;RONDA    GENERAL MITRE            199;BARCELONA                 ;08023          ;934172573      
SOLER BERTOLICH, MONTSERRAT                          ;CARRER   MOIANES                  51;BARCELONA                 ;08014          ;934316660      
MORENO YUSTE, MARIA                                  ;CARRER   GOMIS                    82;BARCELONA                 ;08023          ;932470810      
AGUSTI VIDAL, MARIA ISABEL                           ;CARRER   DANTE ALIGHIERI          59-61;BARCELONA                 ;08032          ;934293012      
GIL TUDELA, EVA                                      ;VIA      AUGUSTA                  242;BARCELONA                 ;08021          ;932016266      
GARCIA BERGA, ESTHER                                 ;CARRER   ARAGO                    1;BARCELONA                 ;08015          ;932241020      
PALACIO BESCOS, M.DEL PILAR                          ;AVINGUDA VERGE DE MONTSERRAT      158;BARCELONA                 ;08026          ;932368634      
MELGUIZO CORZO, RAQUEL                               ;PASSEIG  BONANOVA                 34;BARCELONA                 ;08022          ;934173452      
QUINTEIRO CANEDO, MARGARITA                          ;CARRER   PERIS MENCHETA           55;BARCELONA                 ;08032          ;932204288      
CARDELLA POU, MARIA LORETO                           ;PASSEIG  FABRA i PUIG             136;BARCELONA                 ;08016          ;933493282      
MARTINEZ BORONAT, ENRIQUE JAVIER                     ;CARRER   VALLESPIR                190;BARCELONA                 ;08014          ;934307745      
JOVE YSANTA, M. TERESA                               ;CARRER   NAPOLS                   4;BARCELONA                 ;08018          ;933094001      
CEDRAN LOPEZ, MA. ROSA                               ;CARRER   TEODOR LLORENTE          4;BARCELONA                 ;08041          ;933517484      
ESQUERR� GIMENO, SERGIO                              ;CARRER   VALENCIA                 530;BARCELONA                 ;08013          ;932323055      
YLLA FATCHINI, ADELA                                 ;CARRER   CASTELLNOU               42;BARCELONA                 ;08017          ;932032409      
BARO SABATE, ESTHER                                  ;CARRER   COPERNIC                 47;BARCELONA                 ;08021          ;932014760      
MARCH PUJOL, MARIA ANTONIA                           ;CARRER   MANDRI                   54;BARCELONA                 ;08022          ;934175030      
CONDAL ESPINAL,ROSA MARIA                            ;CARRER   REINA CRISTINA           1;BARCELONA                 ;08003          ;933105461      
FERNANDEZ LOPEZ,CONCEPCIO                            ;CARRER   BALLESTER                31;BARCELONA                 ;08023          ;932120809      
BRUSTENGA FORTUNY, MARTA                             ;CARRETERABARCELONA                560;SABADELL                  ;08204          ;937104435      
DE LA NOGAL MESA, ANNA                               ;AVINGUDA DIAGONAL                 243;BARCELONA                 ;08013          ;932313054      
LAGUNA VENTOSA, M.JOAQUIMA                           ;CARRER   PROVEN�A                 459;BARCELONA                 ;08025          ;934551207      
ALGUACIL MARI, PURIFICACIO                           ;CARRER   PROVEN�A                 32;BARCELONA                 ;08029          ;934300347      
ROYAN VILLAR, JOSEP                                  ;TRAVESSERDE DALT                  34;BARCELONA                 ;08024          ;932185376      
BOVER FERRER, CATALINA                               ;PASSEIG  MARAGALL                 248;BARCELONA                 ;08031          ;932290823      
ARRASATE PERPI�A, JOSEFA                             ;AVINGUDA VERGE DE MONTSERRAT      71;BARCELONA                 ;08024          ;932141528      
SARDAR KUSSAYER, TAUFIQ-SAMI                         ;CARRER   VALLDOREIX               7;BARCELONA                 ;08024          ;932143004      
COSTA OLIVA, ESTHER                                  ;CARRETERADE COLLBLANC             75;HOSPITALET DE LLOBREGAT L';08904          ;934482439      
CARDUS LLONGUERES, M.ROSA I M. INES                  ;CARRER   FRANCESC PEREZ I CABRERO 11;BARCELONA                 ;08021          ;932010890      
VILARRUBIA GOULA, MARIA ESTEL DE                     ;CARRER   SANTA EULALIA            42;HOSPITALET DE LLOBREGAT L';08902          ;933314192      
DE LA FUENTE RUIZ, LUIS                              ;CARRER   RAFEL DE CAMPALANS       77;HOSPITALET DE LLOBREGAT L';08903          ;932496936      
MONSARRO RAFECAS/AMADO MONSARRO                      ;AVINGUDA ANSELM CLAVE             33;SANT MARTI SARROCA        ;08731          ;938991204      
TORA MILA, MIREIA                                    ;CARRER   PROVIDENCIA              128;BARCELONA                 ;08024          ;932131209      
FARRAN BRIERA, GEORGINA                              ;CARRER   CONSTITUCIO              50;BARCELONA                 ;08014          ;934211529      
PANTALEONI ANDREU,ROSA MARIA/PANTALEONI GIRALT, ALBER;CARRER   CALVET                   70;BARCELONA                 ;08021          ;932092938      
JIMENEZ GALINDO, ANA ISABEL                          ;RONDA    GUINARDO                 196;BARCELONA                 ;08026          ;932363965      
ADSARA DALMAU, J/ADSARA GRAU,J                       ;CARRER   CASTELAO                 74;HOSPITALET DE LLOBREGAT L';08902          ;934225703      
ANDREU LLEAL, M ASUNCION                             ;CARRER   GANDUXER                 94;BARCELONA                 ;08022          ;934171118      
GOMEZ NU�EZ, M TERESA                                ;CARRER   BERTRAN                  129;BARCELONA                 ;08023          ;934174911      
GARCIA CASAS, DELFINA                                ;CARRER   BERLIN                   107;BARCELONA                 ;08029          ;932301129      
TOTOSAUS RAVENTOS, JAUME                             ;PASSATGE OLIVERES                 1;HOSPITALET DE LLOBREGAT L';08904          ;932491731      
SEGURA BOIX, JOSEP BERNAT                            ;CARRER   CONCORDIA                47;BARCELONA                 ;08004          ;932413438      
PONJOAN URIACH, M.ROSA                               ;CARRER   LORETO                   48;BARCELONA                 ;08029          ;932308014      
BEUMALA LLUNELL, MARIA ANGELS                        ;CARRER   BISBE CATALA             8;BARCELONA                 ;08034          ;932033065      
SIMON BARON, JOSE MIGUEL                             ;CARRER   BELCHITE                 13-15;HOSPITALET DE LLOBREGAT L';08906          ;934388000      
VARELA MATO, CONCEPCIO                               ;CARRER   SANT JOAN DE MALTA       111;BARCELONA                 ;08018          ;933074535      
GOMEZ FACUNDO, SANTIAGO                              ;CARRER   ROVIRA VIRGILI           6;BARCELONA                 ;08030          ;933113653      
GARCIA BARRADO,M.CARME                               ;CARRER   AMILCAR                  158 BIS;BARCELONA                 ;08032          ;932365034      
FUENTES LLOBET, JOAN                                 ;CARRER   MORA D'EBRE              43;BARCELONA                 ;08023          ;932138321      
TICO AMOROS, JOSEP                                   ;CARRER   ESPRONCEDA               363;BARCELONA                 ;08027          ;933523760      
ROMERO GISBERT, CARME                                ;CARRER   ESPRONCEDA               191;BARCELONA                 ;08018          ;933081655      
MONT TORRES,NURIA                                    ;CARRER   JOAN GUELL               91;BARCELONA                 ;08028          ;933394514      
SANCHO CEJAS, MARIA JOSE                             ;PASSEIG  BONANOVA                 105;BARCELONA                 ;08017          ;932033097      
CANALS GARCIA, CARINA                                ;CARRER   HORTA                    127;BARCELONA                 ;08032          ;932205754      
RUBIS MARIN, GEMMA                                   ;CARRER   SANTA ENGRACIA           73;BARCELONA                 ;08016          ;933544016      
BARBERAN PARCERISA, LUIS MIGUEL                      ;CARRER   P. I. CAN SERRA, BLOC X  51;HOSPITALET DE LLOBREGAT L';08906          ;934375934      
NEBOT SALABERT, ALEXANDRE                            ;CARRER   AUSIAS MARCH             93;BARCELONA                 ;08013          ;932324704      
DE FRUTOS ILLAN, M.CARME                             ;CARRER   CAMELIES                 22;BARCELONA                 ;08024          ;932132513      
TORRES GIBERT, MARTA/TORRES GIBERT, JAUME            ;AVINGUDA CATALUNYA                25;POBLA DE CLARAMUNT LA     ;08787          ;938086233      
SICILIA MU�OZ, DAFNE                                 ;CARRER   DIPUTACIO                12;BARCELONA                 ;08015          ;934243158      
BLANCH BORIS, MARIA JOSE                             ;CARRER   NAVAS DE TOLOSA          329;BARCELONA                 ;08026          ;933517364      
PIERA BALLESTER, FRANCESCA                           ;CARRER   FRANCOLI                 23 BIS;BARCELONA                 ;08006          ;932183810      
CULLERE COSIDO, MARIA ANTONIA                        ;AVINGUDA GENERALITAT              28;VILADECANS                ;08840          ;936580444      
PEREZ MORALES, JUANA M                               ;CARRER   ROSENDO ARUS             54;HOSPITALET DE LLOBREGAT L';08901          ;933370792      
PALMA GARCIA,ANSELMO/PIE ESCORIHUELA,MARIA LUISA     ;CARRER   L'ALZINA                 44;BARCELONA                 ;08024          ;932133750      
VILAR BUHLER, SUSANNA                                ;PLA�A    PAISOS CATALANS (ESTACIO S/N;BARCELONA                 ;08014          ;934102011      
PEREZ CARRION, LAURA                                 ;PLA�A    CAN BARO                 6;BARCELONA                 ;08024          ;               
CLANXET WUST, PILAR                                  ;CARRER   PROVEN�ALS               12;BARCELONA                 ;08019          ;932665141      
SAINZ VARONA, M.DEL PILAR                            ;RONDA    DE LA TORRASSA           70;HOSPITALET DE LLOBREGAT L';08903          ;934312630      
BOADA MASIP, MA. EULALIA I XAVIER                    ;PASSEIG  JOAN DE BORBO            72;BARCELONA                 ;08003          ;933194502      
SOUCHEIRON ALMELA, IMMACULADA                        ;CARRER   PRAT DE LA RIBA          212;HOSPITALET DE LLOBREGAT L';08901          ;933372624      
MARFA VILA, JOSEP, DE                                ;AVINGUDA MERIDIANA                259;BARCELONA                 ;08027          ;933524509      
CORRAL IGLESIAS, ANTONIO MIGUEL                      ;CARRER   TURO DE LA TRINITAT      41;BARCELONA                 ;08033          ;933451724      
CASANOVAS CASADO, CONCEPCION                         ;CARRER   MALLORCA                 663;BARCELONA                 ;08027          ;933525259      
CARDENAL LOPEZ, M.DEL CARME                          ;RONDA    GUINARDO                 31;BARCELONA                 ;08024          ;934551833      
SHALABI BENAVENT, RAMI RA�L                          ;CARRER   ROC BORONAT              48;BARCELONA                 ;08005          ;933092623      
SANZ SUAY, NESTOR                                    ;CARRER   VALLES I RIBOT           8;BARCELONA                 ;08027          ;933522407      
MASSAGUE SOLE, ROSA MARIA                            ;CARRER   SANT JOAN                2-12;HOSPITALET DE LLOBREGAT L';08901          ;933373119      
PLANAS PASCUAL, JOSEP M                              ;PASSEIG  TORRAS i BAGES           83;BARCELONA                 ;08030          ;933450634      
DE LA CRUZ GARCIA MA. CARME                          ;CARRER   CUBELLES                 8;BARCELONA                 ;08031          ;933515979      
BUSQUETS BALSELLS, XAVIER                            ;CARRER   SECRETARI COLOMA         92;BARCELONA                 ;08024          ;932197994      
FORES MOLINER,MERCEDES/PALAU IMBERN, MARIA MERCE     ;CARRER   GRAN VIA CORTS CATALANES 347;BARCELONA                 ;08014          ;934243657      
RODRIGUEZ VARGAS, JOAN ANTONI                        ;CARRER   CLOSENS                  36;SANT ANDREU DE LLAVANERES ;08392          ;937926199      
MORALES BALLUS, MONICA                               ;CARRER   MONTSENY                 140;HOSPITALET DE LLOBREGAT L';08904          ;932491593      
RENEDO IGAL, GEMMA                                   ;CARRER   ZAMORA                   38;BARCELONA                 ;08005          ;933093807      
GUERRERO POZO, M.CARME                               ;CARRER   AGUSTI i MILA            38;BARCELONA                 ;08030          ;933458141      
