Nombre;Direccion;Municipio;Código Postal;Provincia;Telefono
LA RIERA DE GAIÀ          ;C/ VIAL DE LA SÈQUIA, Nº 32            ;Riera de Gaià, La     ;43762          ;TARRAGONA      ;977655555      
CREIXELL                  ;AV. DE VALLS, S/N                      ;Creixell              ;43839          ;TARRAGONA      ;977800336      
ALTAFULLA                 ;C/ BRUIXES, S/N                        ;Altafulla             ;43893          ;TARRAGONA      ;977656007      
LA POBLA DE MONTORNÈS     ;C/ SANT ANTONI, Nº 5                   ;Pobla de Montornès, La;43761          ;TARRAGONA      ;977648531      
PICAMOIXONS - VALLS       ;C/ SANT ISIDRE, Nº 3                   ;Valls                 ;43491          ;TARRAGONA      ;977623012      
VALLMOLL                  ;PL. ESGLÉSIA, Nº 10                    ;Vallmoll              ;43144          ;TARRAGONA      ;977637406      
DOCTOR SARRÓ ROSET        ;C/ VALLVERA, Nº 8                      ;Valls                 ;43800          ;TARRAGONA      ;977602000      
LA MASÓ                   ;C/ MAJOR, Nº 15                        ;Masó, La              ;43143          ;TARRAGONA      ;977637541      
VANDELLÒS                 ;C/ DR ALFREDO SIMÓN, Nº 2              ;Vandellòs i l'Hospital;43891          ;TARRAGONA      ;977820336      
MASRIUDOMS                ;AV. SANTA ANA, Nº 21                   ;Vandellòs i l'Hospital;43891          ;TARRAGONA      ;977820336      
L'HOSPITALET DE L'INFANT  ;CTRA. DE MÓRA, Nº 13-15                ;Vandellòs i l'Hospital;43890          ;TARRAGONA      ;977820336      
LA PINEDA                 ;C/ ALFREDO KRAUS, Nº 18                ;Vila-seca             ;43480          ;TARRAGONA      ;977370513      
VILA-SECA                 ;C/ GALCERAN DE PINÓS, Nº 25            ;Vila-seca             ;43480          ;TARRAGONA      ;977394027      
LA PLANA                  ;C/ ALMERIA, Nº 26                      ;Vilaplana             ;43206          ;TARRAGONA      ;977390436      
CERCS                     ;CTRA. DE RIBES, Nº 22                  ;Cercs                 ;8698           ;BARCELONA      ;938248527      
SANT CORNELI              ;C/ SANTA BARBARA, Nº 1                 ;Cercs                 ;8698           ;BARCELONA      ;938248320      
LA RODONELLA              ;PG. ONZE DE SETEMBRE                   ;Cercs                 ;8698           ;BARCELONA      ;938248552      
SANT JORDI                ;C/ JOAN CARLES I, Nº 1                 ;Cercs                 ;8698           ;BARCELONA      ;938248651      
BERGUEDÀ                  ;C/ QUIM SERRA, Nº 1                    ;Berga                 ;8600           ;BARCELONA      ;938212744      
AVIÀ                      ;C/ ANSELM CLAVÉ, S/N                   ;Avià                  ;8610           ;BARCELONA      ;938230331      
LA NOU DE BERGUEDÀ        ;PL. DE LA VILA, S/N                    ;Nou de Berguedà, La   ;8698           ;BARCELONA      ;938259000      
BORREDÀ                   ;C/ DE DALT, Nº 5                       ;Borredà               ;8619           ;BARCELONA      ;938239091      
VILADA                    ;C/ TEODOR MIRALLES, Nº 33              ;Vilada                ;8613           ;BARCELONA      ;938238327      
CASTELLCIR                ;C/ DE CAL SOLANES, S/N                 ;Castellcir            ;08183          ;BARCELONA      ;938668151      
CASTELLTERÇOL             ;CTRA. CASTELLCIR, S/N                  ;Castellterçol         ;8183           ;BARCELONA      ;938666350      
SANT QUIRZE SAFAJA        ;C/ BARCELONA, Nº 2                     ;Sant Quirze Safaja    ;8189           ;BARCELONA      ;938663898      
L'ESTANY                  ;PG. DEL PRAT, Nº 1                     ;Estany, L'            ;8148           ;BARCELONA      ;938303030      
MOIÀ                      ;C/ SANTA MAGDALENA, Nº 1               ;Moià                  ;8180           ;BARCELONA      ;938207932      
NAVARCLES                 ;C/ FORTIÀ I SOLÀ, Nº 11                ;Navarcles             ;8270           ;BARCELONA      ;938310030      
MURA                      ;C/ MUNTANYA, Nº 17                     ;Mura                  ;8278           ;BARCELONA      ;938317226      
CASTELLNOU DE BAGES       ;ONZE DE SETEMBRE, S/N                  ;Sant Fruitós de Bages ;8251           ;BARCELONA      ;938321845      
SANT FRUITÓS DE BAGES     ;AV. BERTRAND I SERRA, Nº 8             ;Sant Fruitós de Bages ;8272           ;BARCELONA      ;938760912      
TALAMANCA                 ;C/ RAVAL, Nº 4 .CASAL D'AVIS           ;Talamanca             ;8278           ;BARCELONA      ;938270036      
SANTPEDOR                 ;PL. PAU, Nº 1                          ;Santpedor             ;8251           ;BARCELONA      ;938321133      
NAVÀS                     ;C/ PAU DUARRI, Nº 36                   ;Navàs                 ;8670           ;BARCELONA      ;938390333      
BALSARENY                 ;PL. ROC GARCIA, S/N                    ;Balsareny             ;8660           ;BARCELONA      ;938396127      
FONOLLOSA                 ;C/ ESGLÈSIA, S/N                       ;Fonollosa             ;08259          ;BARCELONA      ;938366155      
AGUILAR DE SEGARRA        ;EDIFICI AJUNTAMENT, S/N                ;Aguilar de Segarra    ;08256          ;BARCELONA      ;938366202      
RAJADELL                  ;C/ MAJOR, Nº 8                         ;Rajadell              ;08256          ;BARCELONA      ;938368044      
SANT JOAN DE VILATORRADA  ;AV. DEL TORRENT CANIGÓ, Nº 2           ;Sant Joan de Vilatorra;8250           ;BARCELONA      ;938726750      
CANET DE FALS             ;PL. DE LA VILA, S/N                    ;Fonollosa             ;08259          ;BARCELONA      ;670471800      
FALS                      ;C/ ESCOLES, S/N                        ;Fonollosa             ;8259           ;BARCELONA      ;938369018      
PONT DE VILOMARA I ROCAFOR;PL. COOPERATIVA, S/N                   ;Pont de Vilomara i Roc;8254           ;BARCELONA      ;938317552      
CASTELLGALÍ               ;AV. DE MONTSERRAT, Nº 2                ;Castellgalí           ;08297          ;BARCELONA      ;938334050      
SANT VICENÇ DE CASTELLET  ;C/ MANRESA, S/N                        ;Sant Vicenç de Castell;8295           ;BARCELONA      ;938335224      
VALLS-PALÀ                ;C/ LES TORRES, Nº 1                    ;Callús                ;8269           ;BARCELONA      ;938696405      
GORETTI BADIA             ;PL. DE LA SERRADONA, Nº 1              ;Súria                 ;8260           ;BARCELONA      ;938694007      
CALLÚS                    ;C/ FRANCESC MACIÀ, Nº 27               ;Callús                ;8262           ;BARCELONA      ;938361888      
CASTELLAR DE N'HUG        ;C/ NOU, S/N                            ;Castellar de n'Hug    ;8699           ;BARCELONA      ;938257010      
GUARDIOLA DE BERGUEDÀ     ;C/ DE L'ESTACIÓ, Nº 4                  ;Guardiola de Berguedà ;8694           ;BARCELONA      ;938227172      
TARRADELLES               ;C/ SANT MARC, Nº 4                     ;Bagà                  ;8695           ;BARCELONA      ;938244555      
BAGÀ                      ;C/ VILASECA, Nº 2                      ;Bagà                  ;8695           ;BARCELONA      ;938244500      
SALDES                    ;C/ ZONA CAMP DEL CANTÓ, S/N            ;Saldes                ;8699           ;BARCELONA      ;938258036      
MAÇANERS                  ;C/ MAJOR, S/N                          ;Saldes                ;8699           ;BARCELONA      ;938258080      
LA POBLA                  ;VIA DEL CARRILET, S/N                  ;Pobla de Lillet, La   ;8696           ;BARCELONA      ;938236006      
SANT JULIÀ DE CERDANYOLA  ;PLAÇA DE L'AJUNTAMENT, S/N             ;Sant Julià de Cerdanyo;8699           ;BARCELONA      ;938227678      
VALLCEBRE                 ;CASA ROSER, S/N                        ;Vallcebre             ;8699           ;BARCELONA      ;938227102      
CASTELLOLÍ                ;AV. DE LA UNIÓ, Nº 62                  ;Castellolí            ;8719           ;BARCELONA      ;938084141      
COPONS                    ;C/ ÀNGEL GUIMERÀ, Nº 9                 ;Copons                ;8281           ;BARCELONA      ;938090150      
ANOIA                     ;PASSEIG VERDAGUER, Nº 170              ;Igualada              ;08700          ;BARCELONA      ;938053500      
ARGENÇOLA                 ;C/ ESGLÉSIA, S/N                       ;Argençola             ;8719           ;BARCELONA      ;938092000      
ORPÍ                      ;PL. SANT JORDI, S/N                    ;Orpí                  ;8787           ;BARCELONA      ;938080303      
LA POBLA DE CLARAMUNT     ;C/ PARE ANTON SOTERAS, Nº 2            ;Pobla de Claramunt, La;8787           ;BARCELONA      ;938086500      
SANT MARTÍ DE TOUS        ;C/ ESCOLES, Nº 10                      ;Sant Martí de Tous    ;8712           ;BARCELONA      ;938096330      
JORBA                     ;C/ DE LA SORT, Nº 9                    ;Jorba                 ;8719           ;BARCELONA      ;938078100      
LA LLACUNA                ;PL. DE LES ERES, S/N                   ;Llacuna, La           ;8779           ;BARCELONA      ;938977007      
MONTMANEU                 ;C/ MAJOR, Nº 46                        ;Montmaneu             ;08717          ;BARCELONA      ;938092171      
ÒDENA                     ;C/ LA FONT, Nº 5                       ;Òdena                 ;8711           ;BARCELONA      ;938040129      
BARRI DE SANT PERE        ;C/ UNIÓ, Nº 2                          ;Òdena                 ;8711           ;BARCELONA      ;938054646      
CARME                     ;AV. CATALUNYA, S/N                     ;Carme                 ;8787           ;BARCELONA      ;938080051      
AVINYÓ                    ;C/ PASSEIG, Nº 19                      ;Avinyó                ;8279           ;BARCELONA      ;938388855      
MONISTROL DE CALDERS      ;C/ DE LA VINYA, Nº 9                   ;Monistrol de Calders  ;8275           ;BARCELONA      ;938399085      
SANTA MARIA D'OLÓ         ;PG. CARME VIDAL, Nº 30                 ;Santa Maria d'Oló     ;8273           ;BARCELONA      ;938385200      
SANT FELIU SASSERRA       ;CTRA. MANRESA, Nº 20                   ;Sant Feliu Sasserra   ;8274           ;BARCELONA      ;938819154      
CALDERS                   ;CAMÍ DEL CARGOLAIRE, S/N               ;Calders               ;8275           ;BARCELONA      ;938308093      
DOCTOR AGUSTÍ GARRIGA     ;C/ ARQUITECTE GAUDÍ, Nº 76 BIS         ;Artés                 ;8271           ;BARCELONA      ;938202060      
PUIG-REIG                 ;PG. DE LA VÍA, Nº 14                   ;Puig-reig             ;8692           ;BARCELONA      ;938290542      
CAL ROSAL                 ;CTRA. DE BERGA, S/N                    ;Avià                  ;8699           ;BARCELONA      ;938221999      
OLVAN                     ;PL. AJUNTAMENT, S/N                    ;Olvan                 ;8611           ;BARCELONA      ;938228619      
GIRONELLA                 ;PL. DE CAMPANALS, S/N                  ;Gironella             ;8680           ;BARCELONA      ;938250321      
CASSERRES                 ;PG. BISBE COMELLAS, Nº 67              ;Casserres             ;8693           ;BARCELONA      ;938234305      
PUJALT                    ;C/ SANT ANDREU, Nº 1                   ;Pujalt                ;8282           ;BARCELONA      ;938681268      
SANT MARTÍ SESGUEIOLES    ;PL. AJUNTAMENT, S/N                    ;Sant Martí Sesgueioles;8282           ;BARCELONA      ;938680144      
CASTELLFOLLIT DE RIUBREGÓS;C/ MAJOR, Nº 10                        ;Castellfollit de Riubr;8281           ;BARCELONA      ;938693031      
SANT PERE SALLAVINERA     ;C/ RAVAL, S/N                          ;Sant Pere Sallavinera ;8281           ;BARCELONA      ;938698830      
CALAF                     ;CTRA. LLARGA, S/N                      ;Calaf                 ;8280           ;BARCELONA      ;938698779      
PRATS DE REI (ELS)        ;C/ RAVALET, Nº 31                      ;Prats de Rei, Els     ;8281           ;BARCELONA      ;938698102      
VALLBONA D'ANOIA          ;C/ MAJOR, Nº 36                        ;Vallbona d'Anoia      ;8785           ;BARCELONA      ;937719171      
CAPELLADES                ;C/ TORRENOVA, Nº 18                    ;Capellades            ;8786           ;BARCELONA      ;938011691      
LA TORRE DE CLARAMUNT     ;C/ CASTELL, Nº 15                      ;Torre de Claramunt, La;8789           ;BARCELONA      ;938012852      
CARDONA                   ;PASSEIG MOSSÉN JOAN RIBA, Nº 1         ;Cardona               ;8261           ;BARCELONA      ;938692450      
LA COROMINA               ;C/ TEULISSOS, Nº 5                     ;Cardona               ;8261           ;BARCELONA      ;938692856      
MONTMAJOR                 ;CAMÍ DE BERGA, Nº 2                    ;Montmajor             ;8261           ;BARCELONA      ;938246000      
SANT MARTÍ DE CENTELLES   ;C/ ESTACIÓ, Nº 2                       ;Sant Martí de Centelle;8592           ;BARCELONA      ;938440500      
CENTELLES                 ;PLA DEL MESTRE, Nº 7                   ;Centelles             ;8540           ;BARCELONA      ;938810485      
BALENYÀ                   ;C/ MAJOR, Nº 46                        ;Balenyà               ;8550           ;BARCELONA      ;938898321      
IGUALADA NORD             ;C/ BELGICA, Nº 5                       ;Igualada              ;8700           ;BARCELONA      ;938075800      
BORGONYÀ                  ;CRTA. BORGONYÀ, Nº 5                   ;Sant Vicenç de Torelló;8571           ;BARCELONA      ;938505130      
SANT VICENÇ DE TORELLÓ    ;PL. CAL FARRÉ, Nº 14                   ;Sant Vicenç de Torelló;8571           ;BARCELONA      ;938591957      
SANT PERE DE TORELLÓ      ;PL. DR. MUNMANY, S/N                   ;Sant Pere de Torelló  ;8572           ;BARCELONA      ;938584277      
TORELLÓ                   ;AV. POMPEU FABRA, Nº 8                 ;Torelló               ;8570           ;BARCELONA      ;938504841      
LA TORRE D'ORISTÀ         ;C/ MOSSÉN RIBA PONT, Nº 69             ;Oristà                ;8518           ;BARCELONA      ;938880097      
PRATS DE LLUÇANÈS         ;C/ DE MONTSERRAT, Nº 2                 ;Prats de Lluçanès     ;8513           ;BARCELONA      ;938560251      
SANTA EULÀLIA DE PUIGORIOL;C/ ROURET, S/N                         ;Lluçà                 ;8514           ;BARCELONA      ;938554062      
PERAFITA                  ;C/ MAJOR, Nº 4, Nº BAIX                ;Perafita              ;8589           ;BARCELONA      ;938530204      
SANT BARTOMEU DEL GRAU    ;C/ PONENT, S/N                         ;Sant Bartomeu del Grau;8519           ;BARCELONA      ;938889362      
OLOST DE LLUÇANÈS         ;C/GIRONA, Nº 1                         ;Olost                 ;8516           ;BARCELONA      ;938880408      
SANTA CREU DE JUTGLAR     ;C/ VELL, Nº 13                         ;Olost                 ;8515           ;BARCELONA      ;938880408      
ORISTÀ                    ;PL. MAJOR, Nº 1                        ;Oristà                ;8518           ;BARCELONA      ;938128006      
MANLLEU                   ;C/ CASTELLOT, Nº 17                    ;Manlleu               ;8560           ;BARCELONA      ;938506484      
SANT SALVADOR DE GUARDIOLA;C/ DE DALT, Nº 16                      ;Sant Salvador de Guard;8253           ;BARCELONA      ;938358205      
EL XUP                    ;C/  VIVENDES PARE IGNASI PUIG, S/N     ;Manresa               ;8240           ;BARCELONA      ;938729306      
SANT ANDREU               ;C/ REMEI DE DALT, Nº 8-14              ;Manresa               ;8240           ;BARCELONA      ;938744100      
CASTELLFOLLIT DEL BOIX    ;C/ AJUNTAMENT, S/N                     ;Castellfollit del Boix;8255           ;BARCELONA      ;609335962      
EL CALBET                 ;C/ PAU CASALS, S/N                     ;Sant Salvador de Guard;8253           ;BARCELONA      ;938354000      
BAGES                     ;SOLER I MARC, Nº 6                     ;Manresa               ;8240           ;BARCELONA      ;938748178      
LES BASES DE MANRESA      ;CREU GUIXERA, Nº 51                    ;Manresa               ;8243           ;BARCELONA      ;938772222      
SAGRADA FAMÍLIA (FONERIA) ;C/ SANT CRISTÒFOL, Nº 34               ;Manresa               ;8243           ;BARCELONA      ;938747813      
MONISTROL DE MONTSERRAT   ;C/ MANRESA, Nº 4                       ;Monistrol de Montserra;8691           ;BARCELONA      ;938284040      
VACARISSES                ;C/ SALVADOR BADIA, S/N                 ;Vacarisses            ;8233           ;BARCELONA      ;938280274      
RELLINARS                 ;PL. AJUNTAMENT, S/N                    ;Rellinars             ;08299          ;BARCELONA      ;938345000      
CASTELLBELL I EL VILAR    ;C/ ROSA D'ABRIL, S/N                   ;Castellbell i el Vilar;8296           ;BARCELONA      ;938282080      
PIERA                     ;C/ PIERETA, Nº 31                      ;Piera                 ;8784           ;BARCELONA      ;937789410      
EL BEDORC                 ;C/ MUNNÉ ORPÍ, Nº 10                   ;Piera                 ;8784           ;BARCELONA      ;937706121      
ELS HOSTALETS DE PIEROLA  ;C/ MAJOR, Nº 2                         ;Hostalets de Pierola, ;8781           ;BARCELONA      ;937712002      
SANT JAUME SESOLIVERES    ;C/ NOU, Nº 22                          ;Piera                 ;8784           ;BARCELONA      ;937763072      
CA N'AGUILERA             ;C/ DE L'ILLA, Nº 32                    ;Piera                 ;8784           ;BARCELONA      ;937794747      
CAN CANALS                ;C/ SANTES CREUS, Nº 34                 ;Piera                 ;8784           ;BARCELONA      ;937728601      
TAVERTET                  ;PL. BISBE GUILLEM, S/N                 ;Tavertet              ;08511          ;BARCELONA      ;938568278      
SANTA MARIA DE CORCÓ      ;C/ NOU, Nº 1                           ;Santa Maria de Corcó  ;8511           ;BARCELONA      ;938568278      
RUPIT I PRUIT             ;C/ ESGLÉSIA, Nº 7                      ;Rupit i Pruit         ;8569           ;BARCELONA      ;938522137      
RODA DE TER               ;C/ SANT SEBASTIÀ, Nº 11                ;Roda de Ter           ;8510           ;BARCELONA      ;938540452      
CANTONIGRÓS               ;C/ MAJOR, Nº 49                        ;Santa Maria de Corcó  ;8569           ;BARCELONA      ;938565283      
SALLENT                   ;C/ JOSEP POTELLAS, Nº 9                ;Sallent               ;8650           ;BARCELONA      ;938372120      
VINYOLES D'ORÍS           ;PTGE. SANT JOSEP, Nº 2                 ;Masies de Voltregà, Le;08508          ;BARCELONA      ;938504845      
ORÍS                      ;AVDA. DEL CASTELL, Nº 1                ;Orís                  ;08573          ;BARCELONA      ;938590247      
SANT HIPÒLIT DE VOLTREGÀ  ;C/ DE LA VINYA, Nº 5                   ;Sant Hipòlit de Voltre;8512           ;BARCELONA      ;938570987      
LA GLEVA                  ;CTRA. DE SANT BOI, S/N                 ;Masies de Voltregà, Le;8508           ;BARCELONA      ;938502776      
SANTA CECÍLIA DE VOLTREGÀ ;PL. ESGLÉSIA, S/N                      ;Santa Cecília de Voltr;8519           ;BARCELONA      ;938502503      
ALPENS                    ;C/ PLACETA, Nº 2                       ;Alpens                ;8587           ;BARCELONA      ;938578075      
SOBREMUNT                 ;C/ MAS CAL TIC                         ;Sobremunt             ;8589           ;BARCELONA      ;938527071      
MONTESQUIU                ;PL. EMILI JUNCADELLA, Nº 1             ;Montesquiu            ;8589           ;BARCELONA      ;938529068      
SANT QUIRZE DE BESORA     ;PG. DEL TER, Nº 21                     ;Sant Quirze de Besora ;8580           ;BARCELONA      ;938529054      
SANT BOI DE LLUÇANÈS      ;PG. LLUÇANÈS, Nº 8                     ;Sant Boi de Lluçanès  ;8589           ;BARCELONA      ;938527079      
SANT AGUSTÍ DE LLUÇANÈS   ;C/ ALOU, Nº 6                          ;Sant Agustí de Lluçanè;8586           ;BARCELONA      ;938527001      
SANTA MARIA DE BESORA     ;PG. PLA DE TEIÀ, Nº 13                 ;Santa Maria de Besora ;8584           ;BARCELONA      ;938550976      
VILANOVA DE SAU           ;PTGE. VERDAGUER, Nº 7                  ;Vilanova de Sau       ;8519           ;BARCELONA      ;938847006      
SANTA EUGÈNIA DE BERGA    ;C/ DE LES ESCOLES, Nº 1                ;Santa Eugènia de Berga;8507           ;BARCELONA      ;938854556      
TARADELL                  ;PASSEIG DEL PUJALÓ, Nº 5               ;Taradell              ;8552           ;BARCELONA      ;938800253      
CALLDETENES               ;C/ JOAN MARAGALL, S/N                  ;Santa Eugènia de Berga;8506           ;BARCELONA      ;938890464      
SANT JULIÀ DE VILATORTA   ;C/ VERGE DE MONTSERRAT, Nº 18          ;Sant Julià de Vilatort;8504           ;BARCELONA      ;938122233      
FOLGUEROLES               ;PL. CLIMENT CAMPA CARDONA, Nº 1        ;Folgueroles           ;8519           ;BARCELONA      ;938122333      
SANTA MARGARIDA DE MONTBUI;C/ LA FÀBRICA, Nº 9                    ;Santa Margarida de Mon;8710           ;BARCELONA      ;938017300      
SANTA MARGARIDA DE MONTBUI;C/ ANSELM CLAVÉ, Nº 5                  ;Santa Margarida de Mon;8710           ;BARCELONA      ;938017300      
TONA                      ;C/ JOAN MARAGALL, Nº 40-48             ;Tona                  ;8551           ;BARCELONA      ;938871162      
SANT MIQUEL DE BALENYÀ    ;C/ DEL CASAL, S/N                      ;Abrera                ;8554           ;BARCELONA      ;938871853      
COLLSUSPINA               ;C/ NOU, Nº 2                           ;Collsuspina           ;8178           ;BARCELONA      ;938300376      
SEVA                      ;C/ DE DALT, Nº 5                       ;Seva                  ;8553           ;BARCELONA      ;938841084      
GURB                      ;MAS L'ESPERANÇA, S/N                   ;Gurb                  ;8503           ;BARCELONA      ;938869922      
OSONA                     ;PL. DE LA DIVINA PASTORA, Nº 7         ;Vic                   ;8500           ;BARCELONA      ;938891012      
EL REMEI                  ;PTGE. PLA DEL REMEI, Nº 10-12          ;Vic                   ;8500           ;BARCELONA      ;938833443      
SANTA EULÀLIA DE RIUPRIMER;C/ DEL SOL, Nº 56                      ;Santa Eulàlia de Riupr;08505          ;BARCELONA      ;938138024      
VILANOVA DEL CAMÍ         ;CRTA. DE LA POBLA Nº 74                ;Vilanova del Camí     ;8788           ;BARCELONA      ;938063302      
DR. RAMON VINYES          ;C/ GIRONA, S/N                         ;Anglès                ;17160          ;GIRONA         ;972421498      
OSOR                      ;C/ MAJOR, Nº 36                        ;Osor                  ;17161          ;GIRONA         ;972446000      
LA CELLERA DE TER         ;AV. MONTSERRAT, Nº 22                  ;Cellera de Ter, La    ;17165          ;GIRONA         ;972186918      
AMER                      ;C/ GUILLERIES, Nº 5                    ;Amer                  ;17170          ;GIRONA         ;972186919      
SANT JULIÀ DEL LLOR I BONM;PL. DON MANUEL, Nº 1                   ;Sant Julià del Llor i ;17164          ;GIRONA         ;972424075      
SANT HILARI SACALM        ;C/ GIRONA, S/N                         ;Sant Hilari Sacalm    ;17403          ;GIRONA         ;972872277      
ARBÚCIES                  ;C/ HAVANA, S/N                         ;Arbúcies              ;17401          ;GIRONA         ;972162210      
SERINYÓ                   ;PL. PAÏSOS CATALANS, Nº 3              ;Serinyà               ;17852          ;GIRONA         ;972593256      
CORNELLÀ DEL TERRI        ;CARRER JACINT VERDAGUER, Nº 20         ;Cornellà del Terri    ;17844          ;GIRONA         ;972594085      
PALOL DE REVARDIT         ;C/ VEÏNAT DE PALOL, Nº 3               ;Palol de Revardit     ;17843          ;GIRONA         ;972594448      
MIERES                    ;C/ CAN CALÓ S/N                        ;Mieres                ;17830          ;GIRONA         ;972680451      
SANT MIQUEL DE CAMPMAJOR  ;PLAÇA DE LES ESCOLES, S/N              ;Sant Miquel de Campmaj;17831          ;GIRONA         ;972574626      
PORQUERES                 ;C/ GREGAL, Nº 2                        ;Porqueres             ;17834          ;GIRONA         ;972576359      
ESPONELLÀ                 ;PL. AJUNTAMENT, Nº 1                   ;Esponellà             ;17832          ;GIRONA         ;972597068      
FONTCOBERTA               ;PL. CATALUNYA, S/N                     ;Fontcoberta           ;17833          ;GIRONA         ;972576136      
BANYOLES                  ;PL. DE CATALUNYA, Nº 6                 ;Banyoles              ;17820          ;GIRONA         ;972572510      
BANYOLES ANNEX            ;AVDA. PAÏSOS CATALANS, S/N             ;Banyoles              ;17820          ;GIRONA         ;972583939      
CRESPIÀ                   ;CARRER MAJOR Nº 7                      ;Crespià               ;17832          ;GIRONA         ;972597230      
VILAÜR                    ;PL. DE L'AJUNTAMENT, S/N               ;Vilaür                ;17483          ;GIRONA         ;972560628      
PONTÓS                    ;PL. DE L'AJUNTAMENT, S/N               ;Pontós                ;17773          ;GIRONA         ;972551831      
GARRIGOLES                ;PL. ESCOLES, S/N                       ;Garrigoles            ;17466          ;GIRONA         ;972560628      
GARRIGÓS                  ;PL. AJUNTAMENT, Nº 2                   ;Garrigàs              ;17476          ;GIRONA         ;972568277      
PALAU DE SANTA EULÀLIA    ;C/ AJUNTAMENT, S/N                     ;Palau de Santa Eulàlia;17476          ;GIRONA         ;972568078      
SANT MORI                 ;PL. DE L'AJUNTAMENT, S/N               ;Sant Mori             ;17467          ;GIRONA         ;972794101      
SANT MIQUEL DE FLUVIÓ     ;PL. DE L'AJUNTAMENT, S/N               ;Sant Miquel de Fluvià ;17475          ;GIRONA         ;972568322      
GAÜSES                    ;PL. PONENT, S/N                        ;Vilopriu              ;17466          ;GIRONA         ;-              
VILOPRIU                  ;C/ MIGDIA, S/N                         ;Vilopriu              ;17466          ;GIRONA         ;972560628      
BÀSCARA                   ;PL. CATALUNYA, S/N                     ;Bàscara               ;17483          ;GIRONA         ;972560628      
CAMALLERA                 ;C/ SANTIAGO RUSINYOL, Nº 5             ;Saus, Camallera i Llam;17465          ;GIRONA         ;972794140      
OIX                       ;C/ MAJOR, Nº 1                         ;Montagut i Oix        ;17855          ;GIRONA         ;972287170      
TORTELLÀ                  ;C/ OLOT, Nº 14                         ;Tortellà              ;17853          ;GIRONA         ;972687556      
MONTAGUT                  ;AV. DE LES ESCOLES                     ;Montagut i Oix        ;17855          ;GIRONA         ;972287801      
SANT JAUME DE LLIERCA     ;C/ INDÚSTRIA, Nº 9                     ;Sant Jaume de Llierca ;17854          ;GIRONA         ;972687039      
ARGELAGUER                ;C/ MAJOR, S/N                          ;Argelaguer            ;17853          ;GIRONA         ;972687606      
BESALÚ                    ;C/ PRAT DE LA RIBA, Nº 9               ;Besalú                ;17850          ;GIRONA         ;972590573      
MAIÀ DE MONTCAL           ;C/ NOSTRA SENYORA DEL MONT, Nº 12      ;Maià de Montcal       ;17851          ;GIRONA         ;972591051      
BLANES 2                  ;AVDA. EUROPA, Nº 10                    ;Blanes                ;17300          ;GIRONA         ;972359534      
BLANES                    ;C/ SEBASTIÀ LLORENS, Nº 4              ;Blanes                ;17300          ;GIRONA         ;972331350      
RIELLS I VIABREA          ;URB. CAN SALVÀ, Nº 1                   ;Riells i Viabrea      ;17404          ;GIRONA         ;972189038      
BREDA                     ;AV. DE LA VERGE DE MONTSERRAT, Nº 13   ;Breda                 ;17400          ;GIRONA         ;972870450      
HOSTALRIC                 ;C/ MAJOR, Nº 32                        ;Hostalric             ;17450          ;GIRONA         ;972864395      
MASSANES                  ;C/ MAJOR, Nº 1                         ;Massanes              ;17452          ;GIRONA         ;972864480      
CAMPRODON                 ;C/ MN. JACINT VERDAGUER, Nº 1          ;Camprodon             ;17867          ;GIRONA         ;972741213      
VILALLONGA DE TER         ;PL. ESCOLES, S/N                       ;Vilallonga de Ter     ;17869          ;GIRONA         ;972740406      
SETCASES                  ;C/ JESÚS, S/N                          ;Setcases              ;17869          ;GIRONA         ;972136089      
MOLLÓ                     ;C/ SANT SEBASTIÀ, Nº 36                ;Molló                 ;17868          ;GIRONA         ;972130129      
LLANARS                   ;PL. DE L'OM, Nº 3                      ;Llanars               ;17869          ;GIRONA         ;972741390      
SANT PAU DE SEGÚRIES      ;C/ GUÀRDIA, Nº 11                      ;Sant Pau de Segúries  ;17864          ;GIRONA         ;972747042      
QUART                     ;AV. DE LA BÒBILA, Nº 6                 ;Quart                 ;17242          ;GIRONA         ;972189045      
DR. GERARD MASLLORENS     ;CTRA. LLAGOSTERA, Nº 4                 ;Caldes de Malavella   ;17455          ;GIRONA         ;972470109      
CASSÀ DE LA SELVA         ;C/ BASSEGODA, Nº 11                    ;Cassà de la Selva     ;17244          ;GIRONA         ;972463882      
CAMPLLONG                 ;C/ ESGLÉSIA, Nº 21                     ;Campllong             ;17459          ;GIRONA         ;972464788      
RIUDELLOTS DE LA SELVA    ;PL. AJUNTAMENT, 1 BAIXOS               ;Riudellots de la Selva;17457          ;GIRONA         ;972477529      
LLAMBILLES                ;PL. DE LA VILA, Nº 1                   ;Llambilles            ;17243          ;GIRONA         ;972469301      
LLAGOSTERA                ;AV. ESTACIÓ, S/N                       ;Llagostera            ;17240          ;GIRONA         ;972831203      
BORDILS                   ;PL. ONZE DE SETEMBRE, Nº 1 BAIXOS      ;Bordils               ;17462          ;GIRONA         ;972491177      
LA PERA                   ;C/ MARQUÈS D'ALPENS, Nº 32             ;Pera, La              ;17120          ;GIRONA         ;972489048      
SANT JOAN DE MOLLET       ;PL. CATALUNYA, S/N                     ;Sant Joan de Mollet   ;17463          ;GIRONA         ;972488125      
MADREMANYA                ;C/ SANT ESTEVE, Nº 32                  ;Madremanya            ;17462          ;GIRONA         ;972491041      
