Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
67573;F08007609;GOMEZ VALENZUELA, NURIA;BARCELONA;GELABERT;8029;CARRER;28-30;934101685;BARCELONA 4-A
67574;F08007616;VENTURA TIRON, ANNA;BARCELONA;MARC AURELI;8006;CARRER;42-44;932016496;BARCELONA 5-B
67575;F08007623;GASPAR OSPITAL,C/ARASA I PLA,G;BARCELONA;MARE DE DEU DEL COLL;8023;CARRER;99;932145126;BARCELONA 6-D
67576;F08007630;ROTLLAN VILALTA, MARIA FALGAS;BARCELONA;ANGEL GUIMERA;8017;CARRER;14;932015609;BARCELONA 5-C
67577;F08007648;SABATE FAURA, JAUME;BARCELONA;DOCTOR SANT PONÇ;8030;CARRER;103;933467604;BARCELONA 9-H
67578;F08007655;FERNANDEZ PEREZ, MA. CARME;BARCELONA;TAQUIGRAF GARRIGA;8029;CARRER;67;932307643;BARCELONA 4-B
67579;F08007662;RIBAS FERNANDEZ, EMMA;BARCELONA;GENERAL MITRE;8023;RONDA;199;934172573;BARCELONA 5-E
67580;F08007670;SOLER BERTOLICH, MONTSERRAT;BARCELONA;MOIANES;8014;CARRER;51;934316660;BARCELONA 3-D
67581;F08007687;MORENO YUSTE, MARIA;BARCELONA;GOMIS;8023;CARRER;82;932470810;BARCELONA 6-D
67582;F08007694;AGUSTI VIDAL, MARIA ISABEL;BARCELONA;DANTE ALIGHIERI;8032;CARRER;59-61;934293012;BARCELONA 7-D
67583;F08007704;GIL TUDELA, EVA;BARCELONA;AUGUSTA;8021;VIA;242;932016266;BARCELONA 5-B
67584;F08007711;GARCIA BERGA, ESTHER;BARCELONA;ARAGO;8015;CARRER;1;932241020;BARCELONA 2-B
67585;F08007729;PALACIO BESCOS, M.DEL PILAR;BARCELONA;VERGE DE MONTSERRAT;8026;AVINGUDA;158;932368634;BARCELONA 7-G
67586;F08007736;MELGUIZO CORZO, RAQUEL;BARCELONA;BONANOVA;8022;PASSEIG;34;934173452;BARCELONA 5-E
67587;F08007743;QUINTEIRO CANEDO, MARGARITA;BARCELONA;PERIS MENCHETA;8032;CARRER;55;932204288;BARCELONA 7-D
67588;F08007750;CARDELLA POU, MARIA LORETO;BARCELONA;FABRA i PUIG;8016;PASSEIG;136;933493282;BARCELONA 8-J
67589;F08007768;MARTINEZ BORONAT, ENRIQUE JAVIER;BARCELONA;VALLESPIR;8014;CARRER;190;934307745;BARCELONA 4-A
67590;F08007775;JOVE YSANTA, M. TERESA;BARCELONA;NAPOLS;8018;CARRER;4;933094001;BARCELONA 10-A
67591;F08007782;CEDRAN LOPEZ, MA. ROSA;BARCELONA;TEODOR LLORENTE;8041;CARRER;4;933517484;BARCELONA 7-G
67592;F08007790;ESQUERRÀ GIMENO, SERGIO;BARCELONA;VALENCIA;8013;CARRER;530;932323055;BARCELONA 2-I
67593;F08007800;YLLA FATCHINI, ADELA;BARCELONA;CASTELLNOU;8017;CARRER;42;932032409;BARCELONA 5-C
67594;F08007817;BARO SABATE, ESTHER;BARCELONA;COPERNIC;8021;CARRER;47;932014760;BARCELONA 5-B
67595;F08007824;MARCH PUJOL, MARIA ANTONIA;BARCELONA;MANDRI;8022;CARRER;54;934175030;BARCELONA 5-E
67596;F08007831;CONDAL ESPINAL,ROSA MARIA;BARCELONA;REINA CRISTINA;8003;CARRER;1;933105461;BARCELONA 1-B
67597;F08007849;FERNANDEZ LOPEZ,CONCEPCIO;BARCELONA;BALLESTER;8023;CARRER;31;932120809;BARCELONA 5-E
67598;F08007856;BRUSTENGA FORTUNY, MARTA;SABADELL;BARCELONA;8204;CARRETERA;560;937104435;SABADELL 6
67599;F08007863;DE LA NOGAL MESA, ANNA;BARCELONA;DIAGONAL;8013;AVINGUDA;243;932313054;BARCELONA 2-J
67600;F08007870;LAGUNA VENTOSA, M.JOAQUIMA;BARCELONA;PROVENÇA;8025;CARRER;459;934551207;BARCELONA 2-K
67601;F08007888;ALGUACIL MARI, PURIFICACIO;BARCELONA;PROVENÇA;8029;CARRER;32;934300347;BARCELONA 2-C
67602;F08007895;ROYAN VILLAR, JOSEP;BARCELONA;DE DALT;8024;TRAVESSERA;34;932185376;BARCELONA 6-C
67603;F08007905;BOVER FERRER, CATALINA;BARCELONA;MARAGALL;8031;PASSEIG;248;932290823;BARCELONA 8-J
67604;F08007912;ARRASATE PERPIÑA, JOSEFA;BARCELONA;VERGE DE MONTSERRAT;8024;AVINGUDA;71;932141528;BARCELONA 7-A
67605;F08007920;SARDAR KUSSAYER, TAUFIQ-SAMI;BARCELONA;VALLDOREIX;8024;CARRER;7;932143004;BARCELONA 6-C
67606;F08007937;COSTA OLIVA, ESTHER;HOSPITALET DE LLOBREGAT L';DE COLLBLANC;8904;CARRETERA;75;934482439;HOSPITALET DE LLOBREGAT 3
67607;F08007944;CARDUS LLONGUERES, M.ROSA I M. INES;BARCELONA;FRANCESC PEREZ I CABRERO;8021;CARRER;11;932010890;BARCELONA 5-A
67608;F08007951;VILARRUBIA GOULA, MARIA ESTEL DE;HOSPITALET DE LLOBREGAT L';SANTA EULALIA;8902;CARRER;42;933314192;HOSPITALET DE LLOBREGAT 5
67609;F08007969;DE LA FUENTE RUIZ, LUIS;HOSPITALET DE LLOBREGAT L';RAFEL DE CAMPALANS;8903;CARRER;77;932496936;HOSPITALET DE LLOBREGAT 4
67610;F08007976;MONSARRO RAFECAS/AMADO MONSARRO;SANT MARTI SARROCA;ANSELM CLAVE;8731;AVINGUDA;33;938991204;PENEDES-RURAL*
67611;F08007983;TORA MILA, MIREIA;BARCELONA;PROVIDENCIA;8024;CARRER;128;932131209;BARCELONA 6-E
67612;F08007990;FARRAN BRIERA, GEORGINA;BARCELONA;CONSTITUCIO;8014;CARRER;50;934211529;BARCELONA 3-D
67613;F08008000;PANTALEONI ANDREU,ROSA MARIA/PANTALEONI GIRALT, ALBERT;BARCELONA;CALVET;8021;CARRER;70;932092938;BARCELONA 5-A
67614;F08008017;JIMENEZ GALINDO, ANA ISABEL;BARCELONA;GUINARDO;8026;RONDA;196;932363965;BARCELONA 7-G
67615;F08008024;ADSARA DALMAU, J/ADSARA GRAU,J;HOSPITALET DE LLOBREGAT L';CASTELAO;8902;CARRER;74;934225703;HOSPITALET DE LLOBREGAT 6
67616;F08008031;ANDREU LLEAL, M ASUNCION;BARCELONA;GANDUXER;8022;CARRER;94;934171118;BARCELONA 5-B
67617;F08008049;GOMEZ NUÑEZ, M TERESA;BARCELONA;BERTRAN;8023;CARRER;129;934174911;BARCELONA 5-E
67618;F08008056;GARCIA CASAS, DELFINA;BARCELONA;BERLIN;8029;CARRER;107;932301129;BARCELONA 4-A
67619;F08008063;TOTOSAUS RAVENTOS, JAUME;HOSPITALET DE LLOBREGAT L';OLIVERES;8904;PASSATGE;1;932491731;HOSPITALET DE LLOBREGAT 3
67620;F08008070;SEGURA BOIX, JOSEP BERNAT;BARCELONA;CONCORDIA;8004;CARRER;47;932413438;BARCELONA 3-B
67621;F08008088;PONJOAN URIACH, M.ROSA;BARCELONA;LORETO;8029;CARRER;48;932308014;BARCELONA 4-A
67622;F08008095;BEUMALA LLUNELL, MARIA ANGELS;BARCELONA;BISBE CATALA;8034;CARRER;8;932033065;BARCELONA 4-C
67623;F08008105;SIMON BARON, JOSE MIGUEL;HOSPITALET DE LLOBREGAT L';BELCHITE;8906;CARRER;13-15;934388000;HOSPITALET DE LLOBREGAT 9-PUBILLA CASES
67624;F08008112;VARELA MATO, CONCEPCIO;BARCELONA;SANT JOAN DE MALTA;8018;CARRER;111;933074535;BARCELONA 10-C
67625;F08008120;GOMEZ FACUNDO, SANTIAGO;BARCELONA;ROVIRA VIRGILI;8030;CARRER;6;933113653;BARCELONA 9-H
67626;F08008137;GARCIA BARRADO,M.CARME;BARCELONA;AMILCAR;8032;CARRER;158 BIS;932365034;BARCELONA 7-G
67627;F08008144;FUENTES LLOBET, JOAN;BARCELONA;MORA D'EBRE;8023;CARRER;43;932138321;BARCELONA 6-D
67628;F08008151;TICO AMOROS, JOSEP;BARCELONA;ESPRONCEDA;8027;CARRER;363;933523760;BARCELONA 9-A
67629;F08008169;ROMERO GISBERT, CARME;BARCELONA;ESPRONCEDA;8018;CARRER;191;933081655;BARCELONA 10-C
67630;F08008176;MONT TORRES,NURIA;BARCELONA;JOAN GUELL;8028;CARRER;91;933394514;BARCELONA 3-G
67631;F08008183;SANCHO CEJAS, MARIA JOSE;BARCELONA;BONANOVA;8017;PASSEIG;105;932033097;BARCELONA 5-D
67632;F08008190;CANALS GARCIA, CARINA;BARCELONA;HORTA;8032;CARRER;127;932205754;BARCELONA 7-F
67633;F08008200;RUBIS MARIN, GEMMA;BARCELONA;SANTA ENGRACIA;8016;CARRER;73;933544016;BARCELONA 8-E
67634;F08008225;BARBERAN PARCERISA, LUIS MIGUEL;HOSPITALET DE LLOBREGAT L';P. I. CAN SERRA, BLOC X;8906;CARRER;51;934375934;HOSPITALET DE LLOBREGAT 10
67635;F08008232;NEBOT SALABERT, ALEXANDRE;BARCELONA;AUSIAS MARCH;8013;CARRER;93;932324704;BARCELONA 2-H
67636;F08008240;DE FRUTOS ILLAN, M.CARME;BARCELONA;CAMELIES;8024;CARRER;22;932132513;BARCELONA 6-E
67637;F08008257;TORRES GIBERT, MARTA/TORRES GIBERT, JAUME;POBLA DE CLARAMUNT LA;CATALUNYA;8787;AVINGUDA;25;938086233;ANOIA-RURAL*
67638;F08008264;SICILIA MUÑOZ, DAFNE;BARCELONA;DIPUTACIO;8015;CARRER;12;934243158;BARCELONA 2-B
67639;F08008271;BLANCH BORIS, MARIA JOSE;BARCELONA;NAVAS DE TOLOSA;8026;CARRER;329;933517364;BARCELONA 10-F
67640;F08008289;PIERA BALLESTER, FRANCESCA;BARCELONA;FRANCOLI;8006;CARRER;23 BIS;932183810;BARCELONA 5-B
67641;F08008296;CULLERE COSIDO, MARIA ANTONIA;VILADECANS;GENERALITAT;8840;AVINGUDA;28;936580444;VILADECANS 1
67642;F08008306;PEREZ MORALES, JUANA M;HOSPITALET DE LLOBREGAT L';ROSENDO ARUS;8901;CARRER;54;933370792;HOSPITALET DE LLOBREGAT 1
67643;F08008313;PALMA GARCIA,ANSELMO/PIE ESCORIHUELA,MARIA LUISA;BARCELONA;L'ALZINA;8024;CARRER;44;932133750;BARCELONA 6-C
67644;F08008320;VILAR BUHLER, SUSANNA;BARCELONA;PAISOS CATALANS (ESTACIO DE SANTS);8014;PLAÇA;S/N;934102011;BARCELONA 3-G
67645;F08008338;PEREZ CARRION, LAURA;BARCELONA;CAN BARO;8024;PLAÇA;6;;BARCELONA 7-A
67646;F08008345;CLANXET WUST, PILAR;BARCELONA;PROVENÇALS;8019;CARRER;12;932665141;BARCELONA 10-B
67647;F08008352;SAINZ VARONA, M.DEL PILAR;HOSPITALET DE LLOBREGAT L';DE LA TORRASSA;8903;RONDA;70;934312630;HOSPITALET DE LLOBREGAT 4
67648;F08008360;BOADA MASIP, MA. EULALIA I XAVIER;BARCELONA;JOAN DE BORBO;8003;PASSEIG;72;933194502;BARCELONA 1-A
67649;F08008377;SOUCHEIRON ALMELA, IMMACULADA;HOSPITALET DE LLOBREGAT L';PRAT DE LA RIBA;8901;CARRER;212;933372624;HOSPITALET DE LLOBREGAT 1
67650;F08008384;MARFA VILA, JOSEP, DE;BARCELONA;MERIDIANA;8027;AVINGUDA;259;933524509;BARCELONA 9-C
67651;F08008391;CORRAL IGLESIAS, ANTONIO MIGUEL;BARCELONA;TURO DE LA TRINITAT;8033;CARRER;41;933451724;BARCELONA 9-F
67652;F08008401;CASANOVAS CASADO, CONCEPCION;BARCELONA;MALLORCA;8027;CARRER;663;933525259;BARCELONA 9-A
67653;F08008426;CARDENAL LOPEZ, M.DEL CARME;BARCELONA;GUINARDO;8024;RONDA;31;934551833;BARCELONA 7-A
67654;F08008433;SHALABI BENAVENT, RAMI RAÜL;BARCELONA;ROC BORONAT;8005;CARRER;48;933092623;BARCELONA 10-A
67655;F08008440;SANZ SUAY, NESTOR;BARCELONA;VALLES I RIBOT;8027;CARRER;8;933522407;BARCELONA 9-A
67656;F08008465;MASSAGUE SOLE, ROSA MARIA;HOSPITALET DE LLOBREGAT L';SANT JOAN;8901;CARRER;02-des;933373119;HOSPITALET DE LLOBREGAT 1
67657;F08008472;PLANAS PASCUAL, JOSEP M;BARCELONA;TORRAS i BAGES;8030;PASSEIG;83;933450634;BARCELONA 9-I
67658;F08008480;DE LA CRUZ GARCIA MA. CARME;BARCELONA;CUBELLES;8031;CARRER;8;933515979;BARCELONA 8-J
67659;F08008497;BUSQUETS BALSELLS, XAVIER;BARCELONA;SECRETARI COLOMA;8024;CARRER;92;932197994;BARCELONA 6-E
67660;F08008507;FORES MOLINER,MERCEDES/PALAU IMBERN, MARIA MERCE;BARCELONA;GRAN VIA CORTS CATALANES;8014;CARRER;347;934243657;BARCELONA 3-D
67661;F08008514;RODRIGUEZ VARGAS, JOAN ANTONI;SANT ANDREU DE LLAVANERES;CLOSENS;8392;CARRER;36;937926199;SANT ANDREU DE LLAVANERES
67662;F08008521;MORALES BALLUS, MONICA;HOSPITALET DE LLOBREGAT L';MONTSENY;8904;CARRER;140;932491593;HOSPITALET DE LLOBREGAT 4
67663;F08008539;RENEDO IGAL, GEMMA;BARCELONA;ZAMORA;8005;CARRER;38;933093807;BARCELONA 10-A
67664;F08008546;GUERRERO POZO, M.CARME;BARCELONA;AGUSTI i MILA;8030;CARRER;38;933458141;BARCELONA 9-I
67665;F08008553;SERRA BUSQUET, HELENA;BARCELONA;FELIPE DE PAZ (Local 1);8028;CARRER;8;933398668;BARCELONA 4-C
67666;F08008560;BARNADAS RULL, CLARA;HOSPITALET DE LLOBREGAT L';LA FLORIDA;8905;CARRER;53;934492738;HOSPITALET DE LLOBREGAT 7
67667;F08008578;PICAS RIERA, JORDI;BARCELONA;DOCTOR PI I MOLIST (TDA-1);8031;CARRETERA;1;933524556;BARCELONA 8-J
67668;F08008585;EDMUND JOYCE, GRAHAM;BARCELONA;MELCIOR DE PALAU;8014;CARRER;153 BIS;932396083;BARCELONA 3-G
67669;F08008592;CARTAÑA GAMEZ, M. CARME;BARCELONA;MARAGALL;8027;PASSEIG;106;933518414;BARCELONA 9-C
67670;F08008602;SORNI HUBRECHT, MARIA DOLORES;BARCELONA;MANDRI;8022;CARRER;6;934171028;BARCELONA 5-B
67671;F08008610;GOMEZ MARTINEZ, JESUS CARLOS;BARCELONA;VERGE DE MONTSERRAT;8026;AVINGUDA;143;934555139;BARCELONA 7-A
67672;F08008627;BLANC MELIA, BEATRIZ/BLANC MELIA, JAVIER;BARCELONA;CONCEPCIO ARENAL;8027;CARRER;124;933528655;BARCELONA 9-c
67673;F08008634;ANFRUNS ESPUÑA, TERESA;LA POBLA DE LILLET;PORXOS;8696;CARRER;22;938236110;ALT BERGUEDA
67674;F08008659;GONZALEZ SIGNES/NAVARO MARCO;BARCELONA;DIAGONAL;8028;AVINGUDA;197;;BARCELONA 10-A
67675;F08008666;TRILLA GARCIA, JUAN JOSE;BARCELONA;GUADIANA;8014;CARRER;39;934214727;BARCELONA 3-E
67676;F08008673;RIAZA SOLER/GISPERT SERRATS;BARCELONA;COMANDANT BENITEZ;8028;CARRER;30;934214727;BARCELONA 4-C
67677;F08008698;BOSCH SAIS, ROSER;HOSPITALET DE LLOBREGAT L';COTONAT;8904;CARRER;38;932491261;HOSPITALET DE LLOBREGAT 3
67678;F08008708;ABAD PALACIN, MIRIAM;LA ROCA DEL VALLES;MESTRES I TORRENTS;8430;RAMBLA;23;938420742;ROCA DEL VALLES, LA
67679;F08008715;SURRIBAS LLANSO,M.DOLORS/CASERAS SURRIBAS,ANNA;BARCELONA;CAPITA ARENES;8034;CARRER;62;932033794;BARCELONA 5-C
67680;F08008722;FERRER DE GOMIS, M.TERESA;BARCELONA;GRAN VIA CORTS CATALANES;8004;CARRER;216;933121071;BARCELONA 3-B
67681;F08008730;XURIGUERA HERNANDEZ,XAVIER;BARCELONA;CONSELL DE CENT;8013;CARRER;575;932315260;BARCELONA 2-I
67682;F08008754;GARRABE CANET, M.TERESA;BARCELONA;DANTE ALIGHIERI;8032;CARRER;118;932293710;BARCELONA 7-D
67683;F08008761;FARRE/ROMA;BARCELONA;FORMENTERA;8016;CARRER;44;933540183;BARCELONA 8-I
67684;F08008779;OROBITG BLANCH, ANNA;BARCELONA;MASFERRER (TDA-1);8028;CARRER;16;933307817;BARCELONA 4-B
67685;F08008786;CAMPO GÜERRI, M. LOURDES;BARCELONA;TAQUIGRAF SERRA;8029;CARRER;3;934393853;BARCELONA 4-A
